,title,text,author
2529,二三事,她厌倦之极那些在台下仰望她视她为偶像的人。,annibaobei
2973,春宴,在不是必需的时候，我不找人，也没有人找我。,annibaobei
7783,安妮宝贝中短篇作品,只是她永远不知道可以拿什么东西给安生分享。,annibaobei
3141,二三事,莲安被推进手术室大门的时候，神情非常冷静。,annibaobei
3140,二三事,放下笔的时候，才发现手颤抖着竟停止不下来。,annibaobei
7833,安妮宝贝中短篇作品,这条通向苍茫远方的铁轨总有一天会带走安生。,annibaobei
2929,春宴,作息规律，清晨6点起床，在隔壁小摊喝豆浆。,annibaobei
7916,安妮宝贝中短篇作品,但是你却像颗刚晒干的花生米，让人想咬一口。,annibaobei
2877,春宴,如同一艘渡船，从此地到彼岸，获得一处空间。,annibaobei
7999,安妮宝贝中短篇作品,那片寂静深蓝的天空已经被喧嚣的人声污染了。,annibaobei
3180,二三事,而在这样的时候，我却觉得他似乎仍旧是在的。,annibaobei
8059,安妮宝贝中短篇作品,七月，你以后当我死了吧，我不想再看到你了。,annibaobei
8081,安妮宝贝中短篇作品,她已经不再是那个会在七月的怀里痛哭的少女。,annibaobei
8131,安妮宝贝中短篇作品,母亲一直很喜欢常赖在七月家里蹭饭吃的安生。,annibaobei
8136,安妮宝贝中短篇作品,家明说，安生是一棵散发诡异浓郁芳香的植物。,annibaobei
2870,春宴,4我的自我迷失于对这个时代的惘然和不相宜。,annibaobei
3083,二三事,大约是一个月之后，他邀我陪他一起去看房子。,annibaobei
8159,安妮宝贝中短篇作品,七月抚摸着那些柔软地缀满蕾丝和珍珠的轻纱。,annibaobei
2867,春宴,不知道该怎么写，写些什么，以及为什么而写。,annibaobei
8263,安妮宝贝中短篇作品,恐惧和愤怒的感觉，让她听到自己轻轻的颤抖。,annibaobei
2795,春宴,我选择住到这里，也不过因着一种天真的憧憬。,annibaobei
8072,安妮宝贝中短篇作品,相见的唯一一个夜晚，安生因为喝醉睡得很熟。,annibaobei
2767,春宴,广场上出租汽车和三轮车颇显冷落，生意寥寥。,annibaobei
2975,春宴,人若被世间遗忘，一定同时也在选择遗忘世间。,annibaobei
7693,安妮宝贝中短篇作品,只有她手上属于七月的绿镯子还在轻轻摇晃着。,annibaobei
3130,春宴,也许某天他会离婚，也许某天他会和于姜分手。,annibaobei
2023,八月未央,工作很辛苦，包括在拥挤破旧的公车上的奋战。,annibaobei
3117,春宴,Fiona给她于姜私人日志地址和阅读密码。,annibaobei
3272,二三事,只能坐在他身边的泥地上，给自己点燃一根烟。,annibaobei
3067,春宴,这是一次重要的但并不代表惟一和终结的旅途。,annibaobei
2040,八月未央,我每天早出晚归挤公车，对着电脑不停地打字。,annibaobei
7524,安妮宝贝中短篇作品,于是大雨中，两个女孩撑着一把伞向前方飞跑。,annibaobei
7544,安妮宝贝中短篇作品,而且她的作文总是被老师评论为不健康的颓废。,annibaobei
7614,安妮宝贝中短篇作品,所以即使在重点中学里，老师也没有什么意见。,annibaobei
2980,春宴,仿佛肉身是某种电源和能量的接受转换放射器。,annibaobei
7623,安妮宝贝中短篇作品,阴暗的光线下，七月差点认不出来这就是安生。,annibaobei
7630,安妮宝贝中短篇作品,然后他问安生，觉得逃课一个月去写生快乐吗。,annibaobei
7641,安妮宝贝中短篇作品,它到了一个看得懂的人的手里，就是有了价值。,annibaobei
3223,二三事,若有莲花盛开，那是来自我们共同的灵魂尸体。,annibaobei
7662,安妮宝贝中短篇作品,我来管着包和相机吧，你们快点看完快点下来。,annibaobei
7664,安妮宝贝中短篇作品,安生坐在蒲团上，看着佛说，他们知道一切吗。,annibaobei
2067,八月未央,凌晨1点的时候，我在床上想起闹钟没有定时。,annibaobei
7671,安妮宝贝中短篇作品,很多年以后，七月才知道这是她最快乐的时间。,annibaobei
7682,安妮宝贝中短篇作品,她把白镯子戴到手腕上，高兴地放在阳光下照。,annibaobei
3197,二三事,在我年少的时候，我们违背彼此的意愿和感情。,annibaobei
7625,安妮宝贝中短篇作品,银白的眼影，紫色的睫毛膏，还有酒红的唇膏。,annibaobei
