,title,text,author
504,秋,她呆呆地望着琴的脸，她哀求着：给一点援助。,bajin
671,随想录,于是石沉大海，过了十几年还不见下集的影子。,bajin
9837,爱情的三部曲(雾雨电),但是他并没有停止脚步，很快地就走过了报馆。,bajin
798,随想录,我不能说我的答案是正确的，但它们是严肃的。,bajin
4185,爱情的三部曲(雾雨电),别人只告诉他：死就是升天，她是到天上去了。,bajin
9748,随想录,没有想到你还在美国医院治疗，又病到了这样。,bajin
799,随想录,我看到什么，我理解什么，我如实地写了出来。,bajin
9725,随想录,当然它们终于会消失，因为读者需要新的作品。,bajin
849,随想录,好意可感，让我来试一下，也算是一种探索吧。,bajin
1465,爱情的三部曲(雾雨电),什么时候上船？我的行李都已经运到船上去了。,bajin
4141,爱情的三部曲(雾雨电),今晚上我真不知道把这颗心安放到什么地方去。,bajin
947,随想录,那一笔算不清的糊涂账就让它给扔到火里去吧。,bajin
973,随想录,每天都是这样，体温一高，他的情绪就坏起来。,bajin
9670,随想录,不知道因为什么，过了五十年我又想起了它们。,bajin
9796,爱情的三部曲(雾雨电),仁民他们怎样？你看见他们吗？亚丹关心地问。,bajin
650,随想录,他的声音还是那样响亮，那样充满生命和信心。,bajin
4119,爱情的三部曲(雾雨电),我心里烦得很，家里又是那样冷静，那样寂寞。,bajin
1494,爱情的三部曲(雾雨电),李佩珠从床沿上站起来，走到她的父亲的身边。,bajin
1050,随想录,读了西彦的文章，我仿佛又回到了但丁的世界。,bajin
1500,爱情的三部曲(雾雨电),他虽然在这个房间里，他的眼前却是一片黑暗。,bajin
9787,爱情的三部曲(雾雨电),他匆忙地进了亚丹的房间，那里面还没有点灯。,bajin
1071,随想录,我不会忘记自己的丑态，我也记得别人的嘴脸。,bajin
1076,随想录,所以我常常鼓励朋友：“应该写！应该多写！”,bajin
9784,爱情的三部曲(雾雨电),敏走在最后，他还要去通知克，又要到学校去。,bajin
1509,爱情的三部曲(雾雨电),你明天不可以去找她吗？你陪我吃两杯酒也好。,bajin
8505,爱情的三部曲(雾雨电),并不要什么打击，我的病随时都会使我躺下去。,bajin
1097,随想录,有一个时期听说片子要开拍了，由他担任主角。,bajin
1109,随想录,他说是姓李，没有参加我的专案组，态度友好。,bajin
1141,随想录,最近我们常常惋惜地谈起我国人才的“外流”。,bajin
4069,爱情的三部曲(雾雨电),瑶珠是吴仁民的妻子，在一年前害胃病死掉的。,bajin
1159,随想录,他们并不要求谁来培养，现实生活培养了他们。,bajin
4103,爱情的三部曲(雾雨电),我要回去了，吴仁民突然用一种疲倦的声音说。,bajin
1181,随想录,我就是这样地看待新人的，我热诚地欢迎他们。,bajin
4220,爱情的三部曲(雾雨电),等到车子逼近他的时候，喇叭突然大声地叫了。,bajin
1434,爱情的三部曲(雾雨电),他知道李佩珠的爱情对于周如水是怎样地可贵。,bajin
13,秋,倘若他的处境好一点，他也许不会死得这么早。,bajin
10106,随想录,六十年代中的几次访问，我总是满载友情而归。,bajin
324,随想录,全国解放后，他起初在武汉，后来在北京工作。,bajin
357,随想录,明明是胡说八道，却有人把它们当做“指示”。,bajin
1363,爱情的三部曲(雾雨电),李剑虹带笑地看他们斗嘴，心里有轻微的快感。,bajin
365,随想录,这个笑话萧珊当时是带着痛苦的表情讲出来的。,bajin
8421,爱情的三部曲(雾雨电),这时候他已经被愤怒和绝望的感情紧紧抓住了。,bajin
4334,爱情的三部曲(雾雨电),这两个人走在同一条路上却怀着不同的两颗心。,bajin
9913,爱情的三部曲(雾雨电),他说的倒是真话，佩珠那里是比较安全的地方。,bajin
4331,爱情的三部曲(雾雨电),许多时候来藏在他的胸里的愤慨又冒出了火焰。,bajin
4319,爱情的三部曲(雾雨电),你后天究竟到码头上去不去？去的人恐怕不少。,bajin
10022,随想录,我曾经取了一只用蓝色硬纸折成的鹤带回上海。,bajin
10013,随想录,作家的最大目标是人类的繁荣，是读者的幸福。,bajin
1385,爱情的三部曲(雾雨电),周如水在失望中听见这样的笑声，也感到安慰。,bajin
634,随想录,时间好像在飞跑，靳以逝世一转眼就二十年了。,bajin
4301,爱情的三部曲(雾雨电),周如水兴奋地说下去，他显然是在跟自己挣扎。,bajin
1393,爱情的三部曲(雾雨电),这一次张小川有点窘，但是他仍然满意地微笑。,bajin
436,随想录,招待会的菜点都是车夫人和女儿、媳妇准备的。,bajin
9984,随想录,跳跳蹦蹦的孩子、爱动脑筋的孩子不一定听话。,bajin
473,随想录,只有古然夫妇的慈祥的面颜长留在我的记忆中。,bajin
1403,爱情的三部曲(雾雨电),哪个肯为着一个女人自杀？李佩珠笑着分辩道。,bajin
492,随想录,经过厨房我上了楼，临窗的甬道还是那个样子。,bajin
9958,随想录,但是拿目前的条件来说，似乎连小抓都有困难。,bajin
9957,随想录,倘使没有人来大抓一下，不良的校风也难改好。,bajin
504,随想录,说实话，我自己也想不到会有沙多—吉里之行。,bajin
523,随想录,这一次我又是满载而归，我得到了广泛的友谊。,bajin
1417,爱情的三部曲(雾雨电),他想：你没有错？我就自杀在你的面前给你看。,bajin
525,随想录,但是从市政厅出来，我们就离开了沙多—吉里。,bajin
4249,爱情的三部曲(雾雨电),她走得很慢，还常常回头去看她离开的那座坟。,bajin
599,随想录,我呢，这几篇随笔只是向法国朋友的普通问候。,bajin
1389,爱情的三部曲(雾雨电),我说，倘使有人整天追你……龚德婉起劲地说。,bajin
1540,爱情的三部曲(雾雨电),龚家两姊妹也跟着站起来，穿上了她们的大衣。,bajin
1259,随想录,在西湖她遇到一位远亲，改变了主意带发修行。,bajin
9486,随想录,他走着，不停步，也不声不响，但是十分吃力。,bajin
1821,随想录,明文征明和之曰：拂拭残碑，敕飞字依稀堪读。,bajin
9163,随想录,只有忠实的读者才懂得文学作品的力量和作用。,bajin
1877,随想录,但是我经常意识到我和作家们走向同一个目标。,bajin
1914,随想录,以后我到草地上散步也就忘记了有过落叶的事。,bajin
1928,随想录,我的《文集》，我的《选集》，都是我的脚印。,bajin
9153,随想录,在我遭遇噩运的时候他给了我支持下去的勇气。,bajin
1938,随想录,我想起了安徒生的有名的童话《皇帝的新衣》。,bajin
3864,爱情的三部曲(雾雨电),这一次他走到二楼十九号房间的门前就站住了。,bajin
9138,随想录,托尔斯泰的小说帮助她度过了那些恐怖的黑夜。,bajin
8587,爱情的三部曲(雾雨电),周如水知道她读那一类的书愈多，离他便愈远。,bajin
9124,随想录,在这里我只想说，我已经看到了文学馆的明天。,bajin
9119,随想录,我愿意把我最后的精力贡献给中国现代文学馆。,bajin
9682,爱情的三部曲(雾雨电),慧，当心点，你不要乱叫，影拍着慧的肩头说。,bajin
3853,爱情的三部曲(雾雨电),明天？你把文件拿回去吧，我一个字也写不出。,bajin
8550,爱情的三部曲(雾雨电),我们是生来寻求痛苦的人，我们并不是奢侈品。,bajin
1995,随想录,我访问巴黎，在一位新认识的朋友家中吃晚饭。,bajin
2013,随想录,越是不宽裕的人越慷慨，越是富足的人越吝啬。,bajin
2027,随想录,可是过去的发过光的东西，仍然在我心里发光。,bajin
2030,随想录,有个时期我也想用受苦来“赎罪”，努力干活。,bajin
9640,爱情的三部曲(雾雨电),那么，我们就应该想法避开，仁民坚决地回答。,bajin
1754,爱情的三部曲(雾雨电),德这样一想，就觉得慧的面影向着他压了下来。,bajin
2065,随想录,所以到今天，还有人不愿写信，不愿保留信件。,bajin
2098,随想录,我和互生先生并不熟，我同他见面较晚也较少。,bajin
8991,随想录,姑娘后来另外找到一个门当户对的男人订了婚。,bajin
2113,随想录,他的家我去过一次，是一个安徽朋友带我去的。,bajin
3809,爱情的三部曲(雾雨电),他待要安慰他，却又想不到用什么话才有效力。,bajin
2129,随想录,学校重建起来，可是互生先生的心血已经熬尽。,bajin
1797,爱情的三部曲(雾雨电),开口闭口总说女人不行，说恋爱是革命的仇敌。,bajin
3801,爱情的三部曲(雾雨电),但是一转眼间他瞥见一个旧式信封放在桌子上。,bajin
8931,随想录,我担心大家庭人多议论多，会改变大哥的决定。,bajin
9674,爱情的三部曲(雾雨电),在她们的下面，群众慢慢地拥挤着往外面走了。,bajin
7413,爱情的三部曲(雾雨电),我看他也应该找一个女人才好，吴仁民微笑道。,bajin
9260,随想录,更不用说穿衣服、脱衣服、扣纽扣、解纽扣了。,bajin
9261,随想录,我清清楚楚地感觉到我的病情一天天地在好转。,bajin
9758,爱情的三部曲(雾雨电),今晚上开会，在你家里好吗？敏进来就对慧说。,bajin
8519,爱情的三部曲(雾雨电),他走去在桌上摸索到一根纸烟，又擦燃了火柴。,bajin
1321,随想录,但是只要一息尚存，我那一星微火就不会熄灭。,bajin
4018,爱情的三部曲(雾雨电),吴仁民只顾望前面，并不曾注意到陈真的脸色。,bajin
1572,爱情的三部曲(雾雨电),然后她移开眼睛，淡淡地回答道：当然是真的。,bajin
1380,随想录,第二年五月我又去杭州，她却到北京治病去了。,bajin
9457,随想录,三在京王饭店的高楼上，每天都有老友来看我。,bajin
1389,随想录,一九六一年访问日本回来，六月初我又去西湖。,bajin
1396,随想录,盖老当时还活着，他经营自己的生圹好多年了。,bajin
9412,随想录,我为了友情而来，友情吸引了我的全部注意力。,bajin
9385,随想录,他不知道前一夜我做了些什么梦，醒了多少次。,bajin
9365,随想录,十二年前更不会有开门进来的挎书包的小姑娘。,bajin
1512,随想录,要批判我，论断我，否定我，都可以利用它们。,bajin
3991,爱情的三部曲(雾雨电),她的头发很多，平常总是梳成两根短短的辫子。,bajin
1544,随想录,为什么呢？……我不能把责任全推给“衰老”。,bajin
1609,爱情的三部曲(雾雨电),你一定知道她自杀的原因，她有一封信留给你。,bajin
9342,随想录,在数九的冬天哪里来的蝉叫？原来是我的耳鸣。,bajin
1665,爱情的三部曲(雾雨电),自己割断自己的生命，我究竟是个勇敢的女子。,bajin
1702,随想录,最后在医院病室里他还在审阅《收获》的稿件。,bajin
1661,爱情的三部曲(雾雨电),我的丈夫，这蠢驴，他从来不曾得到我的爱情。,bajin
9269,随想录,我的病房在大楼的最高一层，只有十几个房间。,bajin
9289,随想录,同看电视的病友交谈起来，都说节目不够丰富。,bajin
1650,爱情的三部曲(雾雨电),她把脸挨近他的脸，她的泪珠从眼睛里掉下来。,bajin
270,随想录,他说，还有好几篇文章，打算校改后全交给我。,bajin
1664,随想录,我不想写序，只是因为我不曾具备写序的条件。,bajin
9742,爱情的三部曲(雾雨电),我亲眼看见雄和志元上汽车，佩珠含着眼泪说。,bajin
1632,爱情的三部曲(雾雨电),你赶快起来，让我给你收拾行李，她哀求地说。,bajin
1596,随想录,我不想死后得到安息，我知道自己进不了天堂。,bajin
9328,随想录,后来听说他的胃动了手术后，长期不想吃东西。,bajin
1572,随想录,即使等待我的是批判，我也只好硬着头皮接受。,bajin
9340,随想录,夜并不静，附近通宵施工，似乎在搅拌混凝土。,bajin
1654,随想录,必须挖得更深，才能理解更多，看得更加清楚。,bajin
9633,爱情的三部曲(雾雨电),他低声说：你是指流血吗？慧默默地点了点头。,bajin
259,随想录,他的才能没有得到很好的发展，我常常这样想。,bajin
33,秋,他痛苦地对觉民说：“二弟，你叫我怎样办？”,bajin
4868,爱情的三部曲(雾雨电),就没有一个关心我、爱我的人……但是你来了。,bajin
5842,家,淑芬也拉着他的衣服问过“龙灯来不来”的话。,bajin
5873,家,龙灯随着锣鼓声进来，停在二门外的大天井里。,bajin
922,秋,同样她的一生也反映着他的全部被损害的痛史。,bajin
5877,家,玩龙灯的人便拿着下面的竹竿，每个人持一节。,bajin
913,秋,他仿佛看见从灰色的假山背后转出来一个人影。,bajin
10134,爱情的三部曲(雾雨电),在马路上面凌乱地躺着汽车的碎片和死伤的人。,bajin
4836,爱情的三部曲(雾雨电),他以为在那些人里面一定没有吴仁民和熊智君。,bajin
5972,家,觉慧刚刚嚼完了一大口饭，放下碗抢先回答道。,bajin
