,title,text,author
1071,关于女人,这里，我还要感谢一个小女人，我的侄女，萱。,bingxin
1482,山中杂记,你要以山中踯躅的态度，移在别处，可就不行。,bingxin
1475,山中杂记,假如世界上的人都是一样的脸，我必不愿见人。,bingxin
1444,山中杂记,若完全的叫湖光代替了海色，我似乎不大甘心。,bingxin
462,我自己走过的路,读了两遍，觉得事实很明显了，或者可以去得。,bingxin
460,疯人笔记,人说我具有冷的理性，我也自承认是冷的理性。,bingxin
1729,疯人笔记,教授似乎觉得她不说话，就问她许多零碎的事。,bingxin
1417,山中杂记,她以后不再胡说了，无病吃药是怎样难堪的事。,bingxin
1414,山中杂记,我们都用毡子蒙着脸，暗暗的笑得喘不过气来。,bingxin
1412,山中杂记,果然看见护士端着一杯药进来，杯中泡泡作声。,bingxin
1742,疯人笔记,好在路不远，瑛借给她一双套鞋，他们先走了。,bingxin
1677,疯人笔记,觉得是自己精神不济，事事由瑛敷衍忽略过去。,bingxin
1493,我自己走过的路,但是，这里所谓的真诚和明了，毕竟是有限的。,bingxin
1395,山中杂记,一念至诚的将假作真，灯光似乎都从地上飘起。,bingxin
1773,疯人笔记,因此，在她怀我的时候，她总希望是一个女儿。,bingxin
1785,疯人笔记,母亲对于我的第二个失望，就是我总不想娶亲。,bingxin
1345,山中杂记,满立着狰狞的神像的大殿，也敢在阴暗中小立。,bingxin
1332,山中杂记,只觉得在拘管而又浪漫的禁令下，过了半年多。,bingxin
106,关于女人,因此，在她怀我的时候，她总希望是一个女儿。,bingxin
1810,疯人笔记,她有现代的头脑，稳静公平的接受现代的一切。,bingxin
118,关于女人,母亲对于我的第二个失望，就是我总不想娶亲。,bingxin
1818,疯人笔记,母亲总是高高兴兴的，接待父亲和我们的朋友。,bingxin
1839,疯人笔记,辛亥革命时，我们正在上海，住在租界旅馆里。,bingxin
1630,斯人独憔悴,说着他把翻开的《白香山诗集》递到小文手里。,bingxin
476,疯人笔记,我不愿意以无端的事，不快了我，又不快了你。,bingxin
1400,我自己走过的路,他跟我的小弟弟同岁，阴历应该是八十三岁了。,bingxin
1119,斯人独憔悴,不过晚凉归来的时候，互相报告这一日的经过。,bingxin
1733,山中杂记,我又失望，又害怕，孤身旅行，这还是第一次。,bingxin
1725,山中杂记,人气蒸得模糊的窗眼之内，只听得人们的呕吐。,bingxin
1667,山中杂记,下楼用饭之先，我打电话到中国旅行社买船票。,bingxin
1666,山中杂记,上楼来脱去大衣，只觉得全身战栗，如冒严寒。,bingxin
1654,山中杂记,去年秋天，楫海外归来，住了一个多月又走了。,bingxin
1151,斯人独憔悴,叔远却一面依旧吹着箫儿，一面点头催他和奏。,bingxin
1148,斯人独憔悴,"""可怜我已经是昏沉如梦，怎禁得这急管繁弦""",bingxin
1581,山中杂记,在朦胧的晓风之中，欹枕倾听，使人心魂俱静。,bingxin
3947,山中杂记,咪咪是吴青从我的朋友宋蜀华、黄浦家抱来的。,bingxin
1580,山中杂记,早起朝日未出，已满山满谷的起了轻美的歌声。,bingxin
1572,山中杂记,西方人以青鸟为快乐的象征，我看最恰当不过。,bingxin
1626,疯人笔记,教授来的是这样的仓猝，去的又是这样的急促。,bingxin
1364,我自己走过的路,冰心：我是很难想象，作家下海之后还能写作。,bingxin
1634,疯人笔记,"五天以前，才赶回这工程未竟的""爱巢""里来。",bingxin
527,我自己走过的路,几年的同学，一日要分离，自然觉得十分留恋。,bingxin
1551,山中杂记,女伴告诉我，他是最可爱的狗，从来不咬人的。,bingxin
1371,我自己走过的路,这是一个社会问题，不能把问题推给当老师的。,bingxin
1545,山中杂记,那只棕色的，在和我生分的时候，曾经吓过我。,bingxin
1536,山中杂记,十年来正襟危坐谈话的时候，一天比一天的多。,bingxin
1385,我自己走过的路,宫玺：现在有批青年作家提出创作要优质高价。,bingxin
1390,我自己走过的路,像我们这样的还算出版的多罢，稿费还多一点。,bingxin
1606,斯人独憔悴,"我说：""那么，梁平和他媳妇就不回来了吗？""",bingxin
1392,我自己走过的路,作家要是能靠稿费生活，他也许就不会下海了。,bingxin
1577,我自己走过的路,敬肃，并祝万福！吴文藻上一九二六，七，一。,bingxin
1779,山中杂记,因着骨痛的关系，她躺在床上，总是不能转侧。,bingxin
1604,我自己走过的路,中研院所藏的复印本没有《评阅述感》的部分。,bingxin
1877,疯人笔记,"大姐愕然，刀也放下了，说：""不是肺痨吧？""",bingxin
2107,疯人笔记,"惠姑说：""你这个妈，是你的大妈还是婶娘？""",bingxin
2117,疯人笔记,惠姑回头笑了，便扶着自行车，慢慢的转回去。,bingxin
350,我自己走过的路,一天早起，枕畔接到北平的来信，是葹因写的。,bingxin
444,山中杂记,连站在后面的白和张，说了一声“一路平安！”,bingxin
429,山中杂记,母亲坐在中间屋里，看见我，眼泪便滚了下来。,bingxin
426,山中杂记,就她的肩上，印我的泪眼——便跟着舅母过来。,bingxin
2146,疯人笔记,她妈气忿忿的自己做了饭，同自己儿女们吃了。,bingxin
410,山中杂记,星说：“走罢，远得很呢，明天车站上送你！”,bingxin
349,山中杂记,我也笑道：“这个容易——一时虑不到这些！”,bingxin
317,山中杂记,我抬起头来望着那儿朵寒颤的花——我又不语。,bingxin
364,我自己走过的路,看着自己的设施，进行得非常顺利，也自喜欢。,bingxin
303,山中杂记,想起圣卜生医院室中不断的繁花，我不胜神往。,bingxin
259,山中杂记,——我想：“真可怜——中秋夜居然逃过了！”,bingxin
318,疯人笔记,英士心中的苦乐，却和前一次回家大不相同了。,bingxin
225,山中杂记,出到舱外，灯影下竟无一人，阑外只听得涛声。,bingxin
306,我自己走过的路,仆人从花外叫道：“刘小姐，有你的电话呢。”,bingxin
217,山中杂记,未及说完，一个同伴，掩着口颠顿的走了出去。,bingxin
205,山中杂记,预定夜深才下舱来，便将睡前一切都安排好了。,bingxin
117,山中杂记,树影儿覆在墙儿上，又是凉风如洗，月明如水。,bingxin
114,山中杂记,蒲公英也愿意做玫瑰，然而他却不能就是玫瑰。,bingxin
2009,我自己走过的路,被监禁的有十七位教授，其中两位在狱中去世。,bingxin
287,我自己走过的路,炳星那里知道这些情景，可恨他还这般的试探。,bingxin
260,山中杂记,人人怅惘的归途中，我有说不尽的心里的感谢。,bingxin
250,关于女人,她做着很好的事业，很大的事业，至死末结婚。,bingxin
556,山中杂记,听说他老人家现在福州居住，卖字作公益事业。,bingxin
2059,疯人笔记,"说：""会的，但到这里以后，没有机会开了。""",bingxin
