,title,text,author
2405,红处方,每天压力很大，不知怎样才能让神经松懈下来。,bishumin
1803,女心理师（下）,两个人相跟着出了门，来到建材市场木地板部。,bishumin
2514,女心理师（下）,大汉说：“那当然了。自卑也是要有资本的。”,bishumin
2189,红处方,庄羽聪明过人，从欲盖弥彰里感觉了她的好意。,bishumin
8671,红处方,沈苦鱼说，我有什么工作？和您一样，离休了。,bishumin
2175,红处方,以前偶尔也吃过镇静剂，但从没有这样灵验过。,bishumin
6561,红处方,他们见得多了，视而不见，才是城里人的风度。,bishumin
372,紫花布幔,小髻站在自家屋后的树丛里，任泪水无声漱下。,bishumin
2160,红处方,我给你讲大家都不愿谈的问题——我们的失败。,bishumin
700,红处方,你说冤不冤，吸毒还没吸死，愣让戒毒给害了。,bishumin
6564,红处方,我们一家就住在垃圾站上头，那儿有一间小房。,bishumin
971,女心理师,……柴绛香远远地走过来，衣服上缀满了补丁。,bishumin
79,拯救乳房,等待的重要内容之一，是希望他们有一个孩子。,bishumin
6540,红处方,他们不满足当一个小地方的人，要到大城市去。,bishumin
6528,红处方,为自己，有时候，他必须得向什么人说点什么。,bishumin
8720,红处方,沈若鱼携老母到达N市的时候，已是行程尾期。,bishumin
714,红处方,好吧，我就破一次例，让你带着这个盒子入院。,bishumin
2487,女心理师（下）,武大汉张口结舌，想说什么说不出来，干瞪眼。,bishumin
732,红处方,这叫魔高一尺，道高一丈，我们是跟你们学的。,bishumin
99,拯救乳房,由于病，裴华山对花岚的温度比以前要暖一些。,bishumin
1847,女心理师（下）,婆婆每天阴着脸到自己的故居看看，不说什么。,bishumin
8691,红处方,沈若鱼说，想不到我这么重要，你还挺伤感啊。,bishumin
8738,红处方,当沈若鱼正准备放下的那一瞬间，有人说话了。,bishumin
1970,女心理师,绛香说：“我在想什么呢？我自己都不知道。”,bishumin
5143,红处方,甲子立夏正要说什么，见孟妈来了，再不言语。,bishumin
8599,红处方,她做得很轻柔，好像在拔一只红色鹏鸟的羽毛。,bishumin
5065,红处方,需要用证件向你证明吗？酒井智子很体谅地说。,bishumin
921,女心理师,她一直期待着某天清晨醒来，声音又宛若莺啼。,bishumin
633,红处方,支远答道，我这个人，不能有一时片刻没了钱。,bishumin
8610,红处方,大家凑过来一看，都被画面恢宏的气势所震撼。,bishumin
637,红处方,护士长说，你别腐蚀人，我们这儿是一片净上。,bishumin
351,紫花布幔,院子的一边是柴草垛，另一边就是茅厕和猪圈。,bishumin
6578,红处方,这就是每天在垃圾楼上，支一口大锅，煮破烂。,bishumin
25,女心理师（下）,这是你个人的事情，和法律无关，和他人无关。,bishumin
952,女心理师,一个小时六十分钟，一分钟六十秒，这是常识。,bishumin
5095,红处方,她大约已经触到那是怎么回事了，但不敢相信。,bishumin
8632,红处方,简方宁无可奈何地说，那就挂在医生办公室吧。,bishumin
658,红处方,若是无效，也就睁一只眼闭一只眼，由他们去。,bishumin
5110,红处方,如果强行收集，常常双方反目，关系极力紧张。,bishumin
8642,红处方,简方宁不好拂了大家的意，这事就算定下来了。,bishumin
5123,红处方,酒井智子和她的母亲，爆发了极为猛烈的冲突。,bishumin
664,红处方,我还要把诸位带进病房的换洗衣服，检查一下。,bishumin
8660,红处方,母亲说，我这是冷空气过敏，一到冬天就受罪。,bishumin
2602,拯救乳房,你在这世界上的亲人，表姐我要算惟一的一个。,bishumin
8666,红处方,可我现在一个孤老婆子，孩子们都有自己的事。,bishumin
1251,紫花布幔,这座知识分子聚居的楼房，还从没这样热闹过。,bishumin
993,女心理师,贺顿两手交合，晃动两下，以加强自己的语气。,bishumin
2114,红处方,现在他们隔着桌子，遥遥相对，很像谈判双方。,bishumin
2472,女心理师（下）,武大汉说：“屁股一坐下，咨询就算开始了？”,bishumin
8818,红处方,沈若鱼一惊，听庄羽的意思，好像有什么变故。,bishumin
2540,拯救乳房,让和她打过交道的人，许多年后还会以她为荣。,bishumin
2539,拯救乳房,卜珍琪为自己立下志向，这一辈子要做个大官。,bishumin
6435,红处方,范青稞用手托着腮帮子，好像突然牙痛的模样。,bishumin
9994,红处方,一个人死了，但整个世界仍在生机勃勃地向前。,bishumin
490,紫花布幔,田国兴长得什么样子，小髻已经回忆不起来了。,bishumin
9987,红处方,三人伯眯着眼睛，好像被菊花的金光晃疼了眼。,bishumin
122,拯救乳房,以苦闷和疑惧作燃料，花岚决定走入乳癌小组。,bishumin
6415,红处方,三大伯叹了一口气说，看来你真是个良家妇女。,bishumin
1988,红处方,范青稞受此惊吓，恨不能插翅飞出这魔鬼地方。,bishumin
580,拯救乳房,安疆觉得自己如同没有性命的死物，被人议论。,bishumin
5349,红处方,别人也许看不出来，但我感觉到了他的吸引人。,bishumin
560,拯救乳房,已经发你的军装，我们不要了，送你做个纪念。,bishumin
2406,女心理师（下）,打电话的人都心中惴惴，面对机器，不愿倾诉。,bishumin
2526,拯救乳房,后来一定发生了某些事情，可卜珍琪不记得了。,bishumin
5369,红处方,但是这样就可以天天和她在一起了，我挺高兴。,bishumin
5379,红处方,对某些人，知道了他的家庭，就知道了他的病。,bishumin
5380,红处方,弗洛伊德认为解剖学界定一切，当然有些绝对。,bishumin
1902,红处方,孟妈乐得合不拢嘴，说，好闺女，说话得算话。,bishumin
1113,女心理师,绛香回答：“干的就是这个活儿，就得干好。”,bishumin
6413,红处方,三大伯说，本埠一块绿树皮，外埠一块灰树皮。,bishumin
1049,女心理师,“你非常愤怒非常懊恼非常伤感非常苦闷……”,bishumin
771,红处方,在猎人发现人兽的同时，人兽也同步发现猎人。,bishumin
8813,红处方,我去和简方宁说，我相信她一定会收你入院的。,bishumin
2106,红处方,范青稞做了一个深呼吸，辅以标准的扩胸动作。,bishumin
