,title,text,author
442,冯冀才散文,头顶上的九个太阳已经依次一个个消失在西边。,fengjicai
1118,冯骥才作品精选,就像肚子里的秽气，只能隔着裤子偷偷往外窜。,fengjicai
1122,冯骥才作品精选,他五脏六腑总觉得空荡荡，没有根，底气不足。,fengjicai
1123,冯骥才作品精选,这辫子在头顶上就像做了一个灿烂又悠长的梦。,fengjicai
4948,冯骥才作品精选,在艺术创作中最美好的感觉莫过于叫自己吃惊。,fengjicai
515,神鞭,从西关街走到头儿，有个土坯打墙围着的院子。,fengjicai
2707,冯骥才作品精选,香莲点头没吭声，心里还是服气佟忍安的眼力。,fengjicai
3881,冯骥才作品精选,他想解释，想争辩，想求饶，却全说不出口来。,fengjicai
3709,冯骥才作品精选,高女人每要抬起左脚，他就使劲向上一提绳子。,fengjicai
546,神鞭,戴奎一嘿嘿一笑：你是听美了，还想再听一遍。,fengjicai
1696,神鞭,当年在南门外辫子被打断时的感觉，又出现了。,fengjicai
4932,冯骥才作品精选,这一年我住在北京的人民文学出版社里写小说。,fengjicai
1178,冯骥才作品精选,当年在南门外辫子被打断时的感觉，又出现了。,fengjicai
560,神鞭,戴奎一气呼呼盯着傻二的脸说：你不动，我动!,fengjicai
3879,冯骥才作品精选,伸手从包里掏出五张光盘，亮闪闪放在脚前边。,fengjicai
2520,冯骥才作品精选,说到这儿，脑门青筋一蹦，眼珠子定住不动了。,fengjicai
4217,冯骥才作品精选,今天又喊出来，可见她已到了怒不可遏的地步。,fengjicai
4878,冯骥才作品精选,世上延绵最久的还是非物质的——思想与精神。,fengjicai
1219,冯骥才作品精选,女人家见他这土痞模样，不敢接茬，赶紧走去。,fengjicai
608,神鞭,玻璃花赶上戴奎一说：戴爷，不能就这么算了。,fengjicai
1115,冯骥才作品精选,第二天，金家父女陪着傻二城里城外转一大圈。,fengjicai
1226,冯骥才作品精选,走了几步，故意回头逗他一句，“您敢来吗？”,fengjicai
1108,冯骥才作品精选,于是就有好事的人，假装到金家串门，包打听。,fengjicai
4967,冯骥才作品精选,为了逃避这群讨厌的家伙，我真想换房子搬家。,fengjicai
5031,冯骥才作品精选,她有猫必留，谁也不知道她家到底有多少只猫。,fengjicai
5659,冯骥才作品精选,所以克洛岱尔认为罗丹把她的一切都掠夺走了。,fengjicai
3588,冯骥才作品精选,也许他没想过，爱的本质就是生命的相互依赖。,fengjicai
576,冯冀才散文,但我对尖脸人的直觉——应该说，是一种排斥。,fengjicai
1014,冯骥才作品精选,团民们都迎着又凉又湿的风站着，没一个躲藏。,fengjicai
5017,冯骥才作品精选,她说得脸抖，手也抖，点烟时，烟卷抖落在地。,fengjicai
31,俗世奇人,一间屋子，一个屋顶四面墙，先刷屋顶后刷墙。,fengjicai
4185,冯骥才作品精选,它往往在苦涩难当的时候，叫你尝到最甜的蜜。,fengjicai
556,冯冀才散文,长度标志时间还是空间？时间实际是一种空间。,fengjicai
1794,神鞭,傻二一笑，把头布缠上，转身带那瘦徒弟走了。,fengjicai
551,冯冀才散文,我无法完全记录下在这建筑里见到的荒诞景象。,fengjicai
1050,冯骥才作品精选,一时好似提不住气，一泡尿下来，裤裆全湿了。,fengjicai
542,冯冀才散文,走到这中间才知道，每一个巨块都是一座建筑。,fengjicai
539,冯冀才散文,这些物体全是棱形多边体，横七竖八堆积一起。,fengjicai
2279,冯骥才作品精选,没料到香莲忽然说话：“我喜欢这‘空’字！”,fengjicai
1070,冯骥才作品精选,冯掌柜如今在一间豆腐块大的门脸房摆小糖摊。,fengjicai
1751,神鞭,女人家见他这土痞模样，不敢接茬，赶紧走去。,fengjicai
2268,冯骥才作品精选,“缠足，濯足，制履，试履。怎么样？哈哈！”,fengjicai
523,冯冀才散文,掰开手里的果子，果然里边是一种人造的物质。,fengjicai
3882,冯骥才作品精选,人家已经把他所有光盘连同那公文包全部没收。,fengjicai
414,冯冀才散文,一种近于凝结的死寂的气息使这一切更加怪异。,fengjicai
2207,冯骥才作品精选,只见百褶罗裙来回翻飞，黑毛大毽子上下起落。,fengjicai
617,神鞭,看来，他要把心里怒气全拿这泥弹子发泄出来。,fengjicai
342,冯冀才散文,故而对这些古版确切的年代和特征也无从道来。,fengjicai
2780,冯骥才作品精选,佟忍安过世后他不大来，这阵子一闹更不见了。,fengjicai
3837,冯骥才作品精选,老板的话是对老闷儿说的，眼睛却像瞅着于姐。,fengjicai
333,冯冀才散文,它的历史直通着我国雕版印刷清澈而隽永之源。,fengjicai
1398,冯骥才作品精选,只见奶奶两手使劲按住她脚，两脚死命踩住鸡。,fengjicai
1474,神鞭,团民们都迎着又凉又湿的风站着，没一个躲藏。,fengjicai
320,冯冀才散文,如今，他这个地方在采尔湖地区已经小有名气。,fengjicai
1424,冯骥才作品精选,可两脚一沾地皮，疼得一屁股蹲儿坐下起不来。,fengjicai
308,冯冀才散文,至于这里能喝到的冰镇的矿泉水则是纯天然的。,fengjicai
3360,冯骥才作品精选,虽然他的歌不是为我唱的，却不时会与我共鸣。,fengjicai
1451,冯骥才作品精选,每次换脚布，总得带着脓血腐肉生拉硬扯下来。,fengjicai
4276,冯骥才作品精选,他们走着走着，又说又笑，跟着高兴地跑起来。,fengjicai
6189,冯骥才作品精选,我说：“跑过中国古村落最多的人是李玉祥。”,fengjicai
2814,冯骥才作品精选,她家门口，不时给糊上红纸黄纸白纸写的标语。,fengjicai
563,俗世奇人,双手发力一推棺材盖，哐啷一响，他站了起来。,fengjicai
5880,冯骥才作品精选,而懂得怎样珍惜它，才是一种很高层次的文明。,fengjicai
4712,冯骥才作品精选,这时你会发现，湖水并不黝黑，而是湛蓝湛蓝。,fengjicai
1485,冯骥才作品精选,不看她神气，谁信这小闺女会对自己这么发狠。,fengjicai
2825,冯骥才作品精选,教堂和学堂前的筐没人敢动，居然半下子小鞋。,fengjicai
4780,冯骥才作品精选,他给我一盘说是新翻录的，都是“背景音乐”。,fengjicai
5820,冯骥才作品精选,他们保护这些遗址的方式在我们看来十分奇特。,fengjicai
1527,神鞭,一时好似提不住气，一泡尿下来，裤裆全湿了。,fengjicai
4799,冯骥才作品精选,接下去的温情和弦，带来一片疏淡的田园风景。,fengjicai
1623,神鞭,这辫子在头顶上就像做了一个灿烂又悠长的梦。,fengjicai
1622,神鞭,他五脏六腑总觉得空荡荡，没有根，底气不足。,fengjicai
1246,冯骥才作品精选,傻二一笑，把头布缠上，转身带那瘦徒弟走了。,fengjicai
2735,冯骥才作品精选,美子另只手拿起杏儿的手，按在她自己胸口上。,fengjicai
1618,神鞭,就像肚子里的秽气，只能隔着裤子偷偷往外窜。,fengjicai
1258,冯骥才作品精选,这一说，小脚里别有魔法吧！魔不魔，且不说。,fengjicai
3339,冯骥才作品精选,我个人生活的一段时光是和他的歌声在一起的。,fengjicai
1615,神鞭,第二天，金家父女陪着傻二城里城外转一大圈。,fengjicai
645,神鞭,等三爷把傻巴儿的辫子揪下来，就砸你的铺子!,fengjicai
390,俗世奇人,而且是翻模子扣的，成批生产，足有一二百个。,fengjicai
387,冯冀才散文,它既然可以便一切诞生，就一定能使一切灭亡。,fengjicai
1585,神鞭,金子仙拍着手说：行了行了，这下神鞭保住了!,fengjicai
4417,冯骥才作品精选,两幅画都攥在手里，哪真哪假就全由自己说了。,fengjicai
4818,冯骥才作品精选,这时，忽见对面坐着两位老人，正在亲密交谈。,fengjicai
8,炮打双灯,蔡家哥仨放鞭卖炮，忙前忙后，她却像没瞧见。,fengjicai
2765,冯骥才作品精选,桃儿看到这圆圆的鞋口，顺嘴说：“月亮门。”,fengjicai
1548,神鞭,冯掌柜如今在一间豆腐块大的门脸房摆小糖摊。,fengjicai
1314,冯骥才作品精选,“污吾目，即污吾心；丧吾心，即丧吾国也。”,fengjicai
3348,冯骥才作品精选,他是绝对自我的，完全不管也不知道我的存在。,fengjicai
3350,冯骥才作品精选,人和音乐所进行的是两个心灵奇妙的“对话”。,fengjicai
1593,神鞭,一是《老佛爷护膏》，一是《老佛爷香发散》。,fengjicai
973,冯骥才作品精选,每天叩门拜师的人很多，杂七杂八，嘛样都有。,fengjicai
3288,冯骥才作品精选,从中，我已经感知到他属于那个时代的受难者。,fengjicai
969,冯骥才作品精选,一连多少天，卖国货的铺子盈利眼看着往上增。,fengjicai
5265,冯骥才作品精选,冥冥中我感觉《清明上河图》和我有一种缘分。,fengjicai
4051,冯骥才作品精选,老闷儿决不会去占好地方，他争着爬上了车槽。,fengjicai
273,俗世奇人,这黄老板对蔡二少爷的态度也就一点点地变化。,fengjicai
5257,冯骥才作品精选,她还说，她赞成我所做的抢救民间文化的事情。,fengjicai
5462,冯骥才作品精选,老实说，萨尔茨堡人生活在一种很深的矛盾中。,fengjicai
668,冯骥才作品精选,看来，他要把心里怒气全拿这泥弹子发泄出来。,fengjicai
2443,冯骥才作品精选,这蛤蟆脸男人说，“我已然存了满满一屋子！”,fengjicai
3145,冯骥才作品精选,这女子怔了怔，脱下鞋，一双小脚踏在地板上。,fengjicai
308,冯骥才作品精选,侯家后的妓馆，无论大店小店，随他抽份拿钱。,fengjicai
168,神鞭,看来他今儿非要向飞来凤脸上抹一把屎不可了。,fengjicai
307,冯骥才作品精选,从此，三梆子得号“玻璃花”也就名噪津门了。,fengjicai
5221,冯骥才作品精选,这里吸烟自由，所以戴先生和我一直口吐云烟。,fengjicai
2426,冯骥才作品精选,忽然，赛过猫见耗子，撞开几个人一头扑过去。,fengjicai
