,title,text,author
721,倾城,“小时候，你的眉头总是皱着。受不了口欧！”,sanmao
964,三毛-梦里花落知多少,“可是你也不能那么消极，什么也不争了——”,sanmao
1949,送你一匹马,很多日子，很多年，就是回忆起来的那段心情。,sanmao
1893,送你一匹马,小姑也笑，一面笑一面用红笔在打学生的作业。,sanmao
349,撒哈拉的故事,我出于无奈，勉强分给了邻居妇人两片止痛药。,sanmao
359,撒哈拉的故事,“这个地方不能给医生看，她又快要出嫁了。”,sanmao
1849,送你一匹马,每一个周末，你们盼望着来小姑的书房打地铺。,sanmao
1842,送你一匹马,“原来就是这个呀，妈妈早就讲过了，枯燥！”,sanmao
368,撒哈拉的故事,他呆呆的看了一下，又问：“怎么用豆子呢？”,sanmao
475,撒哈拉的故事,我吓了一跳，很气的问他：“你说什么鬼话。”,sanmao
1787,送你一匹马,“小姑明天见！小姑明天见！小姑明天见……”,sanmao
1780,送你一匹马,我们变九头龙、睡美人、蛋糕房子和人鱼公主。,sanmao
1778,送你一匹马,不，那只是一场游戏，一场又一场儿童的游戏。,sanmao
489,撒哈拉的故事,我笑笑，轻轻的对他说：“灌了一大瓶红酒。”,sanmao
606,我的宝贝,太占地方了，除非把刚刚买下的衣服全都丢掉。,sanmao
1700,送你一匹马,怎么强留都不肯再谈，只因今天家里有人在等。,sanmao
290,撒哈拉的故事,“完了，荷西，他们弄得那么正式，神经嘛！”,sanmao
1158,我的宝贝,这种裙子，事实上是一条外裙，长到小腿下面。,sanmao
40,万水千山走遍,去了两个距首都圣荷西不远的小城和一座火山。,sanmao
253,撒哈拉的故事,他进门就大叫：“快起来，我有东西送给你。”,sanmao
373,万水千山走遍,真是只有旅行团的人才能上？我便不信那个邪。,sanmao
783,背影,那时我在沙漠，千里迢迢的飞回马德里去陪伴。,sanmao
795,三毛-梦里花落知多少,婆婆平和的说，神色之间并没有责难我的意思。,sanmao
356,万水千山走遍,“下一辆车再来，我们快跑，伊达不管她了！”,sanmao
346,万水千山走遍,锁住右边的玻璃拚命被人敲打着，我不理他们。,sanmao
336,万水千山走遍,“噢！我不能坐卡车，一生没有坐过卡车啊！”,sanmao
1900,背影,再说万一长辈们命我唱个歌什么，那便难堪了。,sanmao
1025,三毛-梦里花落知多少,初二时，不喜欢学校生活，离开学校自己念书。,sanmao
295,万水千山走遍,米夏过了很久才上车，我翻他放照相机的袋子。,sanmao
810,三毛-梦里花落知多少,黑衣服那么夸张的在阳光下散发着虚伪的气息。,sanmao
214,万水千山走遍,她又先倒抽了一大口气，紧张万分的等我回答。,sanmao
187,万水千山走遍,“三十多公里外的那道桥，可能已经漫水了。”,sanmao
136,撒哈拉的故事,“没什么特别的，过完复活节以后想去非洲。”,sanmao
162,撒哈拉的故事,我重重的点了一下头，我很清楚自己要做的事。,sanmao
110,万水千山走遍,他交给我一个小包包，站起来慢慢的走开去了。,sanmao
79,万水千山走遍,想来此地餐馆竞争仍烈，价高了便更不能赚钱。,sanmao
781,背影,这四个人一涌都挤上了电梯露出了胜利的微笑。,sanmao
1170,我的宝贝,哈敏的小店挤在西雅图的“”，里面并不起眼。,sanmao
615,我的宝贝,我走了，走时，忍不住回过头去，再看他一次。,sanmao
683,撒哈拉的故事,“我在想，总有一天我们会死在这片荒原里。”,sanmao
656,我的宝贝,吉普车是每一个沙漠居民的美梦，可是太贵了。,sanmao
1131,送你一匹马,我们不会欺骗自己，更不容易被老师所迷惑的。,sanmao
1268,撒哈拉的故事,白天店里的工作，他哥哥并没有许他关店休息。,sanmao
998,送你一匹马,你也晓得，我不只是在玩，是又在玩又在工作。,sanmao
996,送你一匹马,凌晨由阳明山回来的时候，妈妈和你已经睡了。,sanmao
990,送你一匹马,我读后深为感动，深为有这样一枝小草而骄傲。,sanmao
1328,撒哈拉的故事,当然水桶、肥皂粉和拖把、水，都是我供给的。,sanmao
1342,撒哈拉的故事,荷西常常讲，可是等小孩子来要了还是又给了。,sanmao
949,送你一匹马,常有人说：例如三毛陈平老师，她不爱看国片。,sanmao
948,送你一匹马,导演非常冷静的处理这部片子，而且处理得好。,sanmao
1344,撒哈拉的故事,这些要钱的孩子们，当然也包括了房东的子女。,sanmao
1356,撒哈拉的故事,有一天，好几个女人来向我要“红色的药水，”,sanmao
917,送你一匹马,比起《熄灯号》来，《第一滴血》是太成功了。,sanmao
685,我的宝贝,它走的时候，我跑到屋子里去，不想看它离开。,sanmao
687,我的宝贝,我急急的往邻居车库中跑，怕他将旧牌照丢掉。,sanmao
1165,三毛-梦里花落知多少,我以为自己会在哪里住下去，结果还是离开了。,sanmao
1295,送你一匹马,他沉吟了一下，又问：“有没有试过写文章？”,sanmao
1311,送你一匹马,老师靠在椅子上微笑望着我，眼里露出了欣喜。,sanmao
1336,送你一匹马,“第一次的作品，很难得了，下个月刊出来。”,sanmao
776,撒哈拉的故事,“你们有缠头巾，三条结在一起可以够长了。”,sanmao
843,撒哈拉的故事,我用千斤顶将车子右边摇起来，开始拆前轮胎。,sanmao
1058,三毛-梦里花落知多少,至于我自己的书呢，那还要经过多少年的考验。,sanmao
1484,送你一匹马,曼伦翻遍了资料，找不到刊过这篇文章的事实。,sanmao
1472,送你一匹马,那一阵曾先生一定快乐，因为总是有人纪念他。,sanmao
1452,送你一匹马,于是我去找花瓶，在加里的穴前也给放上几朵。,sanmao
1450,送你一匹马,这才跑回来，坐在别人的墓地边一枝一枝插花。,sanmao
612,撒哈拉的故事,总算回到姑卡的家里了，这时已是早晨五点钟。,sanmao
1442,送你一匹马,那是一个很大的墓园，名字叫做——圣拉撒路。,sanmao
1425,送你一匹马,一个大眼睛的小女孩穿着冰鞋跌跌撞撞的滑着。,sanmao
1401,送你一匹马,我安然的跟着老师，以为这便是全部的生命了。,sanmao
1127,撒哈拉的故事,我只有这么说，不伤害他，也不昧着自己良心。,sanmao
1377,送你一匹马,那时，国外的衣服对我们家来说仍是不给买的。,sanmao
1374,送你一匹马,惊觉自己也是女孩子，我羞怯的向母亲要打扮。,sanmao
1134,撒哈拉的故事,“我没有，我们是去年在阿尔及利亚结婚的。”,sanmao
1339,送你一匹马,那一场长长的煎然和等待啊！等得我几乎死去。,sanmao
1439,送你一匹马,那时荷西在奈及利亚工作，我一个人住在岛上。,sanmao
824,背影,荷西又是不快，说：“你难道就不能写别的？”,sanmao
449,万水千山走遍,我不闹了，呆在走道上，这时车内的灯也熄了。,sanmao
777,三毛-梦里花落知多少,我喊着，顺手拉过箱子里的格子衬衫和牛仔裤。,sanmao
1644,闹学记,老师又挤进来一句：“他报才华，你等春天。”,sanmao
1427,万水千山走遍,“米夏——米夏——米夏——”山谷回答着我。,sanmao
1666,闹学记,“哦——我的情况。我结过婚，先生过世了。”,sanmao
1675,闹学记,我说：“我不过是写字，不是她口中那样的。”,sanmao
1010,背影,“既然谁都不去洞里，买下它又做什么用呢。”,sanmao
323,三毛-梦里花落知多少,外面又开始下着小雨，夜却是如此的温暖亲切。,sanmao
1349,万水千山走遍,“这段路只有铁轨，这些公车怎么飞过来的？”,sanmao
325,三毛-梦里花落知多少,奥帝满足的叹了口气，擦擦两手，在灯下微笑。,sanmao
1240,我的宝贝,我的生气是很短的，绝对不会超过五小时以上。,sanmao
1236,我的宝贝,艺术性不高的小玩意儿罢了，谈不上什么美感。,sanmao
1703,闹学记,回到寂静的公寓，我摊开信纸，对父母写家书。,sanmao
1200,万水千山走遍,跑去找吉儿，她抱了一满怀的柴火，站在屋旁。,sanmao
1190,万水千山走遍,他的手中拿着相机，问也不问的又举起来要拍。,sanmao
356,三毛-梦里花落知多少,“你快快出来赚钱才好，歌妮已经比你快了！”,sanmao
359,三毛-梦里花落知多少,拉赫有些感喟，若有所思的凝望着这一对孩子。,sanmao
1640,闹学记,他又说：“在等待的这四个月里，你做什么？”,sanmao
9,稻草人手记,现在出国去，无论去做什么都叫镀金或者留洋。,sanmao
308,三毛-梦里花落知多少,“不可以马上走的，刚刚来怎么就计划走呢！”,sanmao
430,我的宝贝,公公婆婆看我翻照片就紧张，怕我将它们偷走。,sanmao
302,稻草人手记,对付这样的一个妻子，荷西当然羞于登报警告。,sanmao
263,稻草人手记,这叫姜太公钓鱼，愿者上钩，鱼饵是洋葱做的。,sanmao
1258,我的宝贝,在这小小的台湾，一千八百万人口挤着过日子。,sanmao
247,稻草人手记,停了车，他放上音响，手很自然的往我圈上来。,sanmao
1520,闹学记,只个棕色皮肤的男生说是南美洲，巴西上来的。,sanmao
1528,闹学记,我不习惯这种招呼法，回了一句：“你好吗？”,sanmao
228,稻草人手记,在他们那方面的看法，可能跟我刚刚完全相反。,sanmao
1728,闹学记,我的去意来得突然，自己先就呆呆的，呆呆的。,sanmao
215,稻草人手记,不平等条约订得不够，现在还要继续自我陶醉。,sanmao
1578,闹学记,“好——今天我们那么开心，课就先不上了。”,sanmao
276,三毛-梦里花落知多少,一座座爬满了鲜花的房子极有风味的扑进眼里。,sanmao
44,稻草人手记,起初的两个月，整个宿舍的同学都对我好极了。,sanmao
1251,我的宝贝,等到我不知觉的当儿，他们又变成面对面的了。,sanmao
1596,闹学记,我一想到正在借读邻居的文法书，这就打住了。,sanmao
1638,闹学记,那个移民官笑了一笑，说：“现在正是隆冬。”,sanmao
17,稻草人手记,我吵着要出走，父母力劝无用，终日忧伤得很。,sanmao
146,稻草人手记,以后我在这个宿舍里，度过了十分愉快的时光。,sanmao
1759,闹学记,毕竟月凤去了，台北还有人情礼物不得不周到。,sanmao
1783,闹学记,我知当年他在大陆念医学院时，曾是我的读者。,sanmao
1130,万水千山走遍,我慢慢的往村内走去，一面走一面回头看大湖。,sanmao
780,万水千山走遍,那时候，我才突然发觉，外祖父是越来越弱了。,sanmao
1969,闹学记,至于送给班琪的一个信封，硬说是父母亲给的。,sanmao
731,万水千山走遍,在秘鲁古斯各城的，是另一个王，叫做华斯加。,sanmao
