,title,text,author
971,三恋,她也用纸包了，在包上写道；送给亲爱的妹妹。,wanganyi
1146,荒山之恋,所有的感觉是那样亲爱，亲爱得再不能分离了。,wanganyi
1197,荒山之恋,他并不回答，却向她打听隔壁院子里的女孩儿。,wanganyi
1444,妹头,在生离死别的哭声中，火车起动，开出了站台。,wanganyi
2360,长恨歌,醒过来，玻璃窗又是一响，似乎有人在扔石子。,wanganyi
1229,荒山之恋,她能主动找上门来说话，还有一点高兴和得意。,wanganyi
1274,荒山之恋,就算当时好言好语地答应了，日后依然会倒霉。,wanganyi
2329,长恨歌,人来人往似也稀疏了一些，各人都在忙各人的。,wanganyi
2466,长恨歌,老克腊说：我和你们一起走吧！也一同出了门。,wanganyi
1427,妹头,这个社交很少的家庭，是很欢迎哥哥的同学的。,wanganyi
1392,荒山之恋,心里便十分不安，决心对她冷淡，好叫她快走。,wanganyi
1397,荒山之恋,刚要将头掉回去，她却轻轻回眸，将他捉住了。,wanganyi
1411,荒山之恋,那一片洇湿的汗迹，散发出一股热烘烘的气息。,wanganyi
1642,桃之夭夭,最后，郁晓秋说，她来打镲，她一定努力学习。,wanganyi
1434,荒山之恋,她的口齿远没姐姐伶俐，自己咬着自己的舌头。,wanganyi
1468,荒山之恋,她努力镇定下来，问道：“怎么能不是人了？”,wanganyi
2214,长恨歌,他们走进平安里，就好像草窝里飞来了金凤凰。,wanganyi
2277,长恨歌,就因这般的平淡和随意，这悲剧更是触目惊心。,wanganyi
1527,荒山之恋,灵魂脱出了躯壳，飞越了障碍，紧紧地拥抱了。,wanganyi
1015,荒山之恋,可他不懂得这一些，他只觉得非常非常的丧气。,wanganyi
1010,荒山之恋,当他回到学校，将一天里两顿饭票作了一次吃。,wanganyi
691,荒山之恋,儿子用小手抹着她的眼泪，她的心几乎要碎了。,wanganyi
703,荒山之恋,车轮链条的吱吱声，在偏僻郊外是格外地刺耳。,wanganyi
2651,长恨歌,这地方什么样的东西都有摹本，都有领路的人。,wanganyi
775,荒山之恋,他那颓丧与绝望的样子，使女人一眼便明白了。,wanganyi
784,荒山之恋,吃早饭时，她小心地问道：“今天还出去吗？”,wanganyi
2598,长恨歌,流言的浪漫在于它无拘无束能上能下的想象力。,wanganyi
874,荒山之恋,跟了一位女老师，男人般的手，男人般的嗓音。,wanganyi
2490,长恨歌,没有朋友来找他，说明他已有多么久不回家了。,wanganyi
893,荒山之恋,他的每一句问话，都有相应的回声，从不辜负。,wanganyi
903,荒山之恋,望着大嫂给搛的满满一碟好菜，甚至恶心起来。,wanganyi
908,荒山之恋,他是决计争不过她的，想象那样争夺他便发窘。,wanganyi
920,荒山之恋,一整个假日的下午，他在繁华的淮海路上徘徊。,wanganyi
2521,长恨歌,房间里有一股隔宿的腐气，也是叫人意气消沉。,wanganyi
943,荒山之恋,琴斜搁在椅子上，琴面在日光灯下华丽地闪光。,wanganyi
957,荒山之恋,大的成家又立业，二的却没了，为的一场伤寒。,wanganyi
960,荒山之恋,似乎，只有那白练似的长江，才将人带得出去。,wanganyi
2593,长恨歌,它最是没有野心，没有抱负，连头脑也没有的。,wanganyi
2682,长恨歌,它有点小心眼儿，小心眼儿要比大道理有趣的。,wanganyi
1539,荒山之恋,然后贴着天幕向舞台对面走去，隐在黑暗中了。,wanganyi
1552,荒山之恋,一层层的幕条垂直在他们脚下，如同走在云端。,wanganyi
2047,长恨歌,以前的旧衣服，一件也用不上，里外全换新的。,wanganyi
2035,长恨歌,薇薇倾向新近流行的大驳壳领，双排扣的款式。,wanganyi
2006,长恨歌,星期天是知道的，这一天，薇薇会和小林回家。,wanganyi
1341,妹头,妹头才不怕她不烧呢，不烧只有好，她自己烧。,wanganyi
1967,荒山之恋,爱情其实是一场战争，那战争真是持久而激烈。,wanganyi
1917,长恨歌,路上，正和薇薇小林相遇，他们也是散步去的。,wanganyi
1325,妹头,妹头倒不嫌了，很耐心地向他解释这，解释那。,wanganyi
1353,妹头,她们彼此的意见，都是通过折磨小白来体现的。,wanganyi
1996,荒山之恋,可是再想到对方都已识破了这个，又有些愤怒。,wanganyi
2026,荒山之恋,她挣着嚷：“碍你们婊孙养的什么事，快滚！”,wanganyi
1318,妹头,小白就说，生女儿有什么不好，我就要生女儿。,wanganyi
2034,荒山之恋,女孩儿不让妈哭，吵着要扯被面儿，做新衣裳。,wanganyi
2041,荒山之恋,歌舞团要了他，她则联系了那市里的电影公司。,wanganyi
1699,桃之夭夭,也有人提给念名单的老师，老师又支吾过去了。,wanganyi
2057,荒山之恋,月光照亮了报纸，报纸上的字一行一行的漆黑。,wanganyi
2062,荒山之恋,她虽是和男孩儿厮混了多年，却从未越过防线。,wanganyi
2014,荒山之恋,可不又轻俏又有双关的意思，还掩饰了真性情。,wanganyi
1542,荒山之恋,走道一片漆黑，十分狭窄，每一级阶梯都很高。,wanganyi
1836,荒山之恋,这话提醒了他，他就提出一起到杂树林里走走。,wanganyi
1774,荒山之恋,托她带饭带菜变成了一桩很平常很自然的事情。,wanganyi
1556,荒山之恋,然后他哭了，她也用手掩住他的嘴，不让出声。,wanganyi
2202,长恨歌,现在，让我们透过窗口，看一看平安里的内景。,wanganyi
1391,妹头,大弟和妹头一点不像，不是说长相，而是气质。,wanganyi
2176,长恨歌,可是当危险真的来临，却谁也听不见它的脚步。,wanganyi
1591,荒山之恋,他希望这一切都不曾发生过，都只是一个乱梦。,wanganyi
1646,荒山之恋,他去的那地场，和安徽挨着，又和山东靠着边。,wanganyi
2147,长恨歌,这一夜里积攒起的同情，还够她们享用一阵的。,wanganyi
1813,荒山之恋,没一句是要紧的，可句句说了都落在他的心里。,wanganyi
1673,荒山之恋,青蛙在水田里叫着，他一桩一桩地回想着往事。,wanganyi
1675,荒山之恋,这疼痛伤害不了他了，他是比那时强健得多了。,wanganyi
1372,妹头,反正舅公没有子嗣，她的子嗣就是舅公的子嗣。,wanganyi
1713,荒山之恋,却要是认真恼了，一撒手就走，便使唤不上了。,wanganyi
2116,长恨歌,总之她们在这里，是处处受钳制，浑身不自在。,wanganyi
1736,荒山之恋,那男生从午后坐到天黑，也没和她说上几句话。,wanganyi
1742,荒山之恋,热情奔放得像个外国电影里的野丫头，也是她。,wanganyi
7030,长恨歌,所以，在这仔细的表面之下，是有着一股坚韧。,wanganyi
2146,长恨歌,她们都忘了时间，等窗帘上有些发亮，才睡着。,wanganyi
653,荒山之恋,可又希望她盘根索底地追问一番，他可以解释。,wanganyi
636,荒山之恋,他们只有抱了，如不互相抱住，他们便全垮了。,wanganyi
618,荒山之恋,可又实在觉得她可爱，只得回答：“都好看。”,wanganyi
4695,三恋,他无法承担这一个事实，那便是，他有孩子了。,wanganyi
4740,三恋,他们有些茫然，站在那里，不知该向哪里迈腿。,wanganyi
1672,妹头,他也好像是又一个玲玲，却不是又一个薛雅琴。,wanganyi
4742,三恋,他们似乎都被这渺茫的感觉攫住了，都不说话。,wanganyi
1666,妹头,所以，小白看上去成熟了，甚至，有一点英俊。,wanganyi
3278,长恨歌,王琦瑶去想他穿西装的样子，竟有些怦然心动。,wanganyi
4786,三恋,他们上车，戴眼镜的作家坐在了司机座的旁边。,wanganyi
3322,长恨歌,听见楼梯上脚步声响，王琦瑶心里生出些欢腾。,wanganyi
4789,三恋,烟从她腮边掠过，微风似的，撩动了她的头发。,wanganyi
4878,三恋,她却又觉着了苦恼，苦恼从快乐里冉冉地升起。,wanganyi
4943,三恋,他们坐下来喝茶，茶是清甜清甜的，五分一杯。,wanganyi
3179,长恨歌,火车自是不理，还是朝前，轰隆声响盖满天地。,wanganyi
3178,长恨歌,灯光越来越稠密，就像扑灯的蛾子，扑向窗口。,wanganyi
5046,三恋,她微微地有点兴奋，心跳加速了，还有些悬荡。,wanganyi
1630,妹头,妹头自己没有说话，倒是师傅去和薛雅琴讨了。,wanganyi
5054,三恋,宾馆总服务台便有邮政代理处，可是她却没打。,wanganyi
