,title,text,author
1011,红楼梦魇,彩云道:没良心的！狗咬吕洞宾，不识好人心。,zhangailing
374,色戒,又有这句谚语：“到男人心里去的路通过胃。”,zhangailing
359,色戒,她从舞台经验上知道，就是台词占的时间最多。,zhangailing
3210,都市的人生,——开饭的时候，一声呼唤，他们就会下来的。,zhangailing
3209,都市的人生,他把妻儿聚在一起，道：“走！走到楼上去！”,zhangailing
3201,都市的人生,报上的征婚广告里每每有“愿助学费”的句子。,zhangailing
3190,都市的人生,差不多所有的职业画家画的都是传统的中国画。,zhangailing
376,色戒,于是就有人说：“到女人心里的路通过阴道。”,zhangailing
2646,红楼梦魇,显然是收并“风月宝鉴”后才有卫若兰这人物。,zhangailing
2642,红楼梦魇,“风月宝鉴”收入此书后，书中始有太虚幻境。,zhangailing
3168,都市的人生,发起人把自己描写成凶徒与淫棍，越坏越动听。,zhangailing
3,小艾,这种老式房子，房间里面向来是光线很阴暗的。,zhangailing
700,都市的人生,路旁竖着“靠右走”的木牌，偏要走到左边去。,zhangailing
2632,红楼梦魇,不过以他与袭人关系之深，也都谈不上这些了。,zhangailing
276,色戒,不然也就不穿这么高的跟了，他显然并不介意。,zhangailing
538,都市的人生,她默默地在后面跟随，在海边银灰色的天气里。,zhangailing
380,色戒,除非是说老了倒贴的风尘女人，或是风流寡妇。,zhangailing
390,色戒,但是不吃就睡不着，她是从来不闹失眠症的人。,zhangailing
835,红楼梦魇,柳湘莲道:自然要辞的，你只别和人说就是了。,zhangailing
59,赤地之恋,他满意地背诵着：“甚至于有三十九小时的。”,zhangailing
470,色戒,早点睡——太累了一时松弛不下来，睡意毫无。,zhangailing
708,都市的人生,中国人却说：“你敢骂我？你不认识你爸爸？”,zhangailing
468,色戒,那些浑小子经不起讯问，吃了点苦头全都说了。,zhangailing
24,赤地之恋,张励与刘荃本来倚在椅背上打盹，也都惊醒了。,zhangailing
2,赤地之恋,其实一个故事的真假当然与它的好坏毫无关系。,zhangailing
3272,都市的人生,张爱玲（1920），出身于上海，名门闺秀。,zhangailing
428,色戒,就是疑心，也不会不问青红皂白就把她执行了。,zhangailing
3247,都市的人生,后来从别处打听到，原来阿妈不能算无产阶级。,zhangailing
181,连环套,霓喜一夜不曾合眼，依旧强打精神，延医炖药。,zhangailing
315,秧歌,也许他实在是心里非常不安定，自己并不知道。,zhangailing
3245,都市的人生,有个朋友问我：“无产阶级的故事你会写么？”,zhangailing
1275,都市的人生,四下里低低的大城市黑沉沉地像古战场的埋伏。,zhangailing
2686,红楼梦魇,回内省亲，早本宝玉已经十七八岁，不能觐见。,zhangailing
