,title,text,author
900,交换星夜的女孩,在莉莉丝的日子，也是舅舅最春风得意的日子。,zhangxiaoxian
448,情人无泪,她只能站在那儿，渴望这个女人快点搁下话筒。,zhangxiaoxian
449,情人无泪,可是，女人却跟电话那一头的朋友聊得很高兴。,zhangxiaoxian
463,情人无泪,好像是徐宏志把她抱到床上，帮她换过睡衣的。,zhangxiaoxian
468,情人无泪,她下了床，赤脚摸出房间，听到模糊的低泣声。,zhangxiaoxian
495,情人无泪,徐宏志给病人诊治，脑里却千百次想着苏明慧。,zhangxiaoxian
498,情人无泪,他行医的日子还短，见过的苦难却已经够多了。,zhangxiaoxian
1975,末世的思念,Youareeverythingtome。,zhangxiaoxian
511,情人无泪,她使他相信，他们的爱情建筑在这个世界之外。,zhangxiaoxian
374,情人无泪,她摸摸自己身上的裙子，毫无信心地呆在那儿。,zhangxiaoxian
527,情人无泪,他该配一位更好的妻子，陪他看尽人间的风光。,zhangxiaoxian
1961,末世的思念,我也早就不再叼着棒棒糖，当自己还是小女生。,zhangxiaoxian
622,情人无泪,然后，他用清朗温柔的声音把颜色逐一读出来。,zhangxiaoxian
630,情人无泪,那火柴燃着了，就能照亮一个平原、一个海岸。,zhangxiaoxian
1901,末世的思念,我站起来收拾洗碗，他拦住，说：“我来洗。”,zhangxiaoxian
648,情人无泪,她头也不回地走了，带着她的惆怅，回到家里。,zhangxiaoxian
705,情人无泪,尽管徐宏志一再给她鼓励，她还是断然拒绝了。,zhangxiaoxian
1862,末世的思念,假装天亮之后的温柔才是真相，其他都不重要。,zhangxiaoxian
1812,末世的思念,Chapter06“你真的很好，可我……”,zhangxiaoxian
541,情人无泪,有那么一刻，他发现他的妻子真的是无可救药。,zhangxiaoxian
732,情人无泪,她感觉到一只手从她身上飞快地拿走一样东西。,zhangxiaoxian
329,情人无泪,这个流传百世的故事，几乎每个小孩子都听过。,zhangxiaoxian
2058,末世的思念,直到赫连红叶走出教室，那些女生才回过神来。,zhangxiaoxian
884,离别曲,三个人去吃饭的时候，鲁新雨坐在大耳朵旁边。,zhangxiaoxian
2199,末世的思念,随着那道白影越走越远，一直追出了红叶学园。,zhangxiaoxian
989,离别曲,夜已深了，-拥抱自己的幸福时，不免想到/。,zhangxiaoxian
1007,离别曲,“喔，我前几天经过唱片店时已经交了给他。”,zhangxiaoxian
