,title,text,author
390,莲花,我只是要你帮助我。善生。你是我惟一的朋友。,annibaobei
58,清醒记,它让我们能够有机会看到镜子对面另一个自己。,annibaobei
76,清醒记,当它已经存在的时候，就已经失去所谓的结果。,annibaobei
668,二三事,买书来看看。休假日料理一下，应该也就足够。,annibaobei
837,二三事,莲安回到房间里，裙子未脱先吃光了那盒蛋糕。,annibaobei
869,莲花,天色已经黑了。他说，想必会在夜色中走山路。,annibaobei
228,二三事,我说，那你要谨慎一些。新的开始总会有风险。,annibaobei
206,二三事,她需要感情。她需要爱更甚于那个被爱着的人。,annibaobei
614,二三事,我只想她能成为一个欢喜善良的人。别无所求。,annibaobei
559,二三事,从你走进店来坐在我面前的桌子上点寿司开始。,annibaobei
364,二三事,我说，你怎么能这样喝酒。你这样会毁了孩子。,annibaobei
1051,二三事,那什么样的事情该记下，什么样的事情该忘记。,annibaobei
12,清醒记,在被拍照的时候，人显得起伏不定，顾此失彼。,annibaobei
292,莲花,就这样打个照面，招呼之后，她便上车离开了。,annibaobei
574,二三事,那夜之后，我就没有再与他见面。开始出去旅行。,annibaobei
770,莲花,她说，总归是要出发的。不可能就这样等着雨停。,annibaobei
98,清醒记,我只是把那张CD收藏起来，从未打算拆开来听。,annibaobei
26,莲花,她四年之前进入峡谷去村里教书。一直没有回来。,annibaobei
845,二三事,我说，外面天黑，且无人，你在野外等车安全吗。,annibaobei
1047,二三事,那你以后会给我看你的书吗。我要知道你的故事。,annibaobei
111,二三事,她很少想起自己的母亲，甚或很少在梦中见到她。,annibaobei
100,清醒记,我们坐在一起，就仿佛在轮换着比赛抽烟的速度。,annibaobei
352,二三事,若生活有任何问题，请写信或打电话，让我知道。,annibaobei
65,二三事,我知道自己不能轻易改变现状。一如现在的生活。,annibaobei
209,莲花,他冷静地看着她的眼睛，说，你早该知道。荷年。,annibaobei
37,二三事,听力下降的第一条重要特征是，常常感觉到耳鸣。,annibaobei
30,清醒记,一个作者，在时间中消失，比被误解地定论要好。,annibaobei
109,清醒记,你转过脸来看我。我们之间的空气变得沉静如水。,annibaobei
323,莲花,你一直都是这样的吗？答应别人的事，一定做到。,annibaobei
806,莲花,她说，你还记得我们次日早晨醒来看到的景象吗?,annibaobei
482,二三事,在那一个瞬间，我觉得她仿佛已经死去。莲安说。,annibaobei
961,二三事,跟我回北京去。莲安。让我和沿见好好地照顾你。,annibaobei
246,二三事,我又睡过去。安稳沉实。耳边一直回响着那段歌。,annibaobei
823,莲花,善生，你会怎么去判断你是否真正地喜欢过一个人?,annibaobei
616,莲花,而她将用同样的模式，保留和损坏掉属于他的记忆。,annibaobei
391,莲花,他说，以后怎么办。你不能上学，并且失去了名誉。,annibaobei
260,莲花,不。我们在一起。不要分开。我喘一口气，就起来。,annibaobei
390,二三事,我说，是。我愿意。随时随地，只要你出现，莲安。,annibaobei
144,莲花,没有。我一个人住北京。我没有此刻想见到的朋友。,annibaobei
169,莲花,他说，我担心你。以后的路，恐怕只会越来越难走。,annibaobei
321,二三事,这样，当那些光亮抵达的时候，已经是它们的回忆。,annibaobei
71,清醒记,他应更像是你独自在荒凉旅途中，偶然邂逅的旅伴。,annibaobei
78,清醒记,有时候也听Dido。因为她显得迷惘，并且淡薄。,annibaobei
424,莲花,这是在大城市生活必须要付出的代价。你需要谋生。,annibaobei
252,二三事,我说，留在北京。与我和沿见一起。我们会照顾你。,annibaobei
525,二三事,这细微的距离之间，有无法探测的极其静默的秘密。,annibaobei
462,莲花,请原谅我。原谅我们。也许我们都将终究获得释然。,annibaobei
654,二三事,我推开那门，一脚踩进去，便看到了一地殷红的血。,annibaobei
249,二三事,是。你醉得厉害。我们便回家来。沿见已经回去了。,annibaobei
499,二三事,她说，我要听话，这是你会继续收留我照顾我的条件。,annibaobei
346,二三事,我与莲安都喜欢保留一些秘密。不愿意轻易告知别人。,annibaobei
650,二三事,莲安依旧还没有过来。我说，我的同伴她来过厨房吗？,annibaobei
694,莲花,外能闻到香甜气味。太多桃子。他们只好用来喂牲畜。,annibaobei
126,二三事,她问出她心里疑惑已久的问题，你为什么要生我下来？,annibaobei
106,清醒记,在闷热的汽车后座，坐在你的身边。你的呼吸有变化。,annibaobei
38,二三事,我已经开始偶尔会听不清楚别人声音不是太大的语言。,annibaobei
1022,二三事,因为你知道我的软弱。莲安的剧烈凛冽，我无法承担。,annibaobei
419,二三事,飞机已经航行了约2个半小时。胸中有隐约的呕吐感。,annibaobei
110,二三事,她尚未得知生命的真相。她亦没有相信。于是她睡着。,annibaobei
826,莲花,不。我从未想过这种问题。这对我与她来说并不重要。,annibaobei
190,莲花,很快端上来一大碗紫黑色外壳的贝壳，肉是嫩黄色的。,annibaobei
846,二三事,她不动声色地说，还有比在天地之间更安全的地方吗。,annibaobei
141,清醒记,不是你想的那样。真切的感情，从来都不会是坚韧的。,annibaobei
75,清醒记,交换各自生命中重要而隐匿的部分。却对各自无所求。,annibaobei
690,二三事,然后我便突然惊醒，听到手术室的门被啪啪地打开了。,annibaobei
13,清醒记,人物摄影，拍到的无非就是一个人的面具，或者真相。,annibaobei
1050,二三事,有时候也是为了遗忘。因遗忘会让我们得到内心的平静。,annibaobei
844,莲花,这是多么虚无的一件事情。善生。我们的挣扎意义何在。,annibaobei
912,二三事,他吃完饭，帮我洗碗。然后就告辞回家。我送他到楼下。,annibaobei
830,莲花,他说，四年之前。她决定进入墨脱之前，回过一次老家。,annibaobei
266,二三事,我的心是这样酸涩煎熬。因着这幸福。以及幸福的短暂。,annibaobei
289,莲花,朋友说，庆昭，今天过来买菜吗。他的神情对她很尊重。,annibaobei
37,莲花,她说，如果你即将要出发去墨脱，我可以跟着你一起去。,annibaobei
313,二三事,她回过头来看着我，你有想过不再写作的生活吗。良生。,annibaobei
862,莲花,可惜路上也无当地人经过，不然可以给我们指一下方向。,annibaobei
846,莲花,不知道过了多久。她醒过来。轻轻说，善生，我要喝水。,annibaobei
892,莲花,于是他决定去墨脱看望她。在她去世已将近两年的时候。,annibaobei
810,莲花,她说，刚才左脚踝被一块掉下来的碎石头砸中。有些疼。,annibaobei
457,二三事,我喜欢丰盛而浓烈地活。良生。但也许那只是我的幻觉。,annibaobei
715,二三事,原来幸福感可以用药丸制造。这亦是人可控的范围之内。,annibaobei
