,title,text,author
357,随想录,最好的办法我看只有一个：创办“文革”博物馆。,bajin
514,家,梅回过头对着琴微微地一笑，点了点头，表示感激。,bajin
777,爱情的三部曲(雾雨电),剩下那一个空的广场，孤寂地躺在傍晚的天幕下面。,bajin
1086,随想录,这是二十八年前写的文章，可惜萨特没有机会重访中国。,bajin
481,随想录,作者在作品里究竟是说真话还是贩卖谎言，读者们最清楚。,bajin
749,随想录,我还想说：“一个中国人什么时候都要想到自己是一个人。”,bajin
20,随想录,我还是那一句话：“多印几本西方文学名著有什么不好呢？”,bajin
333,家,“不要紧，爹不会骂我的，”他一个人自言自语，满意地微笑了。,bajin
8,家,两扇大门开在里面，门上各站了一位手执大刀的顶天立地的彩色门神。,bajin
295,爱情的三部曲(雾雨电),但是这次的新版本却把它们保留下来了：三篇排在一起，印在合订本的卷首。,bajin
529,随想录,我不再是“奴在心者”，也不再是“奴在身者”。我是我自己。我回到我自己身上了。,bajin
328,随想录,我不等到他讲完，便插嘴问：“那么衙内也是‘文革’的受害者吗？你上次这样说过。”,bajin
259,家,她刚走出门，便听见麻将牌在桌子上磨擦的声音。她知道她的母亲至少还要打四圈麻将。,bajin
95,春,“我不要紧，”翠环答道，但是她又打了一个寒噤。淑英点了点头，就转身往竹林里走去。,bajin
62,爱情的三部曲(雾雨电),在路上他还不住地叹息道：我错了……可是现在已经无法挽回了。但是没有人听见他的话。,bajin
366,随想录,我老了，摆老资格也没有用，我必须向年轻人学习，或者让位给年轻人。这是自然的规律。,bajin
837,随想录,我必须把心里的话写出来，才能够得到安宁。我相信亲爱的里昂友人会了解我这歉疚的心情。,bajin
148,春,觉民用低沉的声音回答觉新道。他举起捏紧的拳头在空中猛然地劈下来，好像在打击什么东西一般。,bajin
885,随想录,我会紧紧捏住他的手，对他说：“我们都爱你，没有人会忘记你，你要在中国人民中间永远地活下去！”,bajin
152,家,依旧是狂草的字迹。“倩，不要问我这一个问题，不要问我这一个问题，我请求你。”纸上有了一两滴泪珠。,bajin
439,随想录,我们应当向前进，而且我们是在向前进。然而中华民族绝不是健忘的民族，绝不会忘记那十一年中间发生的事情。,bajin
317,随想录,不小心，我们每个人都会中毒受害。为了保全大家的性命，应当要求：卖真货。单单讲真话已经不够了，太不够了。,bajin
563,家,“剑云，为什么你只说这种不愉快的话，你不看见我们的痛苦已经够多了吗？”虽然是责备的话，但声音却是异常温和。,bajin
187,家,哥哥也许做着好梦吧。他把哥哥的脸看了好一会儿，随后又接连嘘了两三口气，然而过了一些时候，无名的悲哀又袭来了。,bajin
1097,随想录,从此我就没有再写日记。我不斗争，不反抗。我把一切全咽在肚里，把我的“八月二十三日”也咽在肚里。我深深感到内疚。,bajin
130,家,她替他盖好被，又放下帐子，轻轻地走开了。虽然她带来的是不好的消息，然而觉慧却很欣慰，他觉得现在又有一个母亲了。,bajin
553,随想录,这也就是俞姑娘所说的“心中比青春更美好的东西”——十年动乱所卷不走、反倒加强了的东西。我也有这样一个微薄的心愿。,bajin
544,随想录,难道我们还没有吃够讲空话、大话的苦头，一定要让孩子们重演我们的悲剧？我惟一的希望是：孩子们一定要比我们这一代幸福。,bajin
515,随想录,这中间几次刮起冷风，玻璃窗震摇不止。今天坐在窗前停笔深思，我想起了英国王尔德童话中的“巨人的花园”。春天已经来了。,bajin
611,随想录,永刚同志去了，但是《巴山夜雨》中的几个人物活在我的心里，甚至在病床上他们还常在我的眼前出现。为了那些人我也要活下去。,bajin
189,春,“说得好，我赞成！”淑华站在她们背后不大注意地听她们讲话，听到这一句，就故意大声称赞道。婉儿和淑英两个人一齐转过身来。,bajin
340,随想录,但是我也要提高警惕，也许是我的过虑，我真害怕一九六六年的惨剧重上舞台。时光流逝得真快，二十年过去了。“过了二十年又是一个……”,bajin
242,爱情的三部曲(雾雨电),你这个蠢孩子。不要哭。他们不会捉住她。她还要活着做许多、许多事情。仁民用极大的力量定了定心，然后用平静的声音安慰这个哭着的孩子。,bajin
235,秋,他刚说完，就发出一声呛咳，接着俯下身子咳起来。“三老爷，你这真是何苦来！”张氏又抱怨、又怜惜地说了这一句，一面含着眼泪给他捶背。,bajin
528,家,琴不说话了。她有一种脾气，她对于某一个问题回答不出来的时候，便闭上嘴去思索，并不急急地强辩。但是她却不知道这个问题是她的少女的心所无法解答的。,bajin
453,家,他满足了。他陶醉了，陶醉在一个少女的爱情里。他的脸上常常带着笑容，而且整天躲在房里陪伴他的新婚的妻子。周围的人都羡慕他的幸福，他也以为自己是幸福的了。,bajin
801,爱情的三部曲(雾雨电),佩珠忽然抿着嘴低声笑起来。这个环境很容易使人疯狂，仁民平静地回答，但是你记住：对于我们，也许明天一切都不会存在了。他没有恐怖，就像在转述别人的话一样。,bajin
1015,随想录,但是我思考的不是作品，不是文学，而是生活。我在想我们的过去、现在和未来。我想来想去，总离不开上面那两句座右铭。难道我就开得出支票？我真想和杂文家打一次赌。,bajin
