,title,text,author
330,山中杂记,眼前浮现的三个笑容，一时融化在爱的调和里看不分明了。,bingxin
511,山中杂记,四川成都513信箱余人同志对这个问题更作了详尽的阐述。,bingxin
89,疯人笔记,（本篇最初发表于年《新月》第卷期，后收入小说集《姑姑》。,bingxin
286,我自己走过的路,坚信中国学生也会对有这种诚意的日本学生随时伸出合作之手的。,bingxin
88,我自己走过的路,我要活到老，学到老，要不断地改正自己，才能写出较好的作品来。,bingxin
125,疯人笔记,他问我要女儿，别说一个，要两个也容易，但我的太太还没有影子呢。,bingxin
94,关于女人,他问我要女儿，别说一个，要两个也容易，但我的太太还没有影子呢。,bingxin
92,斯人独憔悴,（本篇最初发表于1931年《新月》第3卷11期，后收入小说集《姑姑》。,bingxin
132,我自己走过的路,奥野：我们以后会多多努力，希望得到你们的协助。感谢您非常有意义的讲话。,bingxin
218,山中杂记,你若爱他，他也爱你们。因为他们都喜爱小孩子。大人们太忙，没有工夫和他们玩。,bingxin
229,我自己走过的路,在此我为大家指出一条路。这是一条民主之路、自由之路，也是一条通向东亚和平的道路。,bingxin
284,山中杂记,我恨了这美丽尊严的皮囊，躯壳！我走，我回顾逸尊严美丽，瞠目瞪视的皮囊，没有一星留恋。,bingxin
200,斯人独憔悴,对着这一一的祖先埋骨的土丘，只觉得心绪潮涌，一直在墓树底下，坐到天明，和大家一同归去。,bingxin
105,疯人笔记,第二年夏天，二弟出国，我和三四弟教书的教书，读书的读书，都不能常在左右，只有她是父母亲朝夕的慰安。,bingxin
43,关于女人,第二年夏天，二弟出国，我和三四弟教书的教书，读书的读书，都不能常在左右，只有她是父母亲朝夕的慰安。,bingxin
323,山中杂记,我羡慕那些没有人类的星球！我清醒了。我从高烧中醒了过来，睁开眼看到了床边守护着我的亲人的宽慰欢喜的笑脸。,bingxin
187,山中杂记,梦儿呵，不妨仍在我和她的手里实现！同伴呵！我和你，准备着：创造——奋斗——牺牲！1921年1月1日早起笔。,bingxin
293,山中杂记,她流干了最后一滴泪，洒尽了最后一滴血，在战争的悲惨昏黑的残局上面……含辛茹苦再来收拾，再来建设，再来创造。,bingxin
138,疯人笔记,我真不想再住下去了，那时学校里已放了暑假。城墙边的防空洞曾震塌了一次，压伤了许多人，老太太幸而无恙。我便撺掇他们疏散到乡下去。,bingxin
464,山中杂记,我写序时，她们忙忙的抄稿。我写倦了的时候，她们陪我游山。花里，泉边，她们娇脆的笑声，唤回我十年前活泼的心情，予我以无边的快感。,bingxin
303,我自己走过的路,尽管如此，有钱有闲的人至今还是豁出钱来大操大办，而文化界依旧保持着“抗战中一切从简”的做法。离开祖国四年了，近来中国怎么样了我不太清楚。,bingxin
199,我自己走过的路,今天见到冰心，不知怎的又引起我这一段同客巴黎的回忆。往下让我略记冰心谈自己写作经验的大略，以供读者先睹为快！如有误记的地方，当由笔者负责。,bingxin
117,山中杂记,我以十分激动的心情，来写这四年认真严肃的生活。这训练的确约束了我的“野性”，使我在进入大学的丰富多采的生活以前，准备好一个比较稳静的起步。,bingxin
153,疯人笔记,"用不着都慌得，因为你懂得的，比我多得多了！又及。""他送给我的那一篮花儿呢？""禄儿仰着黑胖的脸儿，呆呆的望着天上。（后收入小说、散文集《超人》。",bingxin
31,斯人独憔悴,"用不着都慌得，因为你懂得的，比我多得多了！又及。""他送给我的那一篮花儿呢？""禄儿仰着黑胖的脸儿，呆呆的望着天上。（后收入小说、散文集《超人》。",bingxin
41,疯人笔记,"这时英士却拿着悲凉恳切的目光，看着芳士说：""妹妹！我盼望等你回去时候的那个中国，不是我现在所遇见的这个中国，那就好了！""（后收入小说集《去国》。",bingxin
186,斯人独憔悴,"这时英士却拿着悲凉恳切的目光，看着芳士说：""妹妹！我盼望等你回去时候的那个中国，不是我现在所遇见的这个中国，那就好了！""（后收入小说集《去国》。",bingxin
68,我自己走过的路,我们大家就以下问题进行了讨论：日本妇女必须对中国加深认识、增加理解；彼此必须互相了解、互相合作。因此，东亚和平的大部分责任应由我们两国的妇女来承担。,bingxin
204,我自己走过的路,说完这几点写作的经验以后，冰心女士还用了几句客气话来结束她的谈话，以为自己对于文章，没有什么巧妙。做文章有时好像变戏法，天桥人人会变，只靠作者的聪明罢了。,bingxin
59,我自己走过的路,曾有人说过校务长不大谈起个人的宗教问题，我是从来没有听他谈过的。但宗教问题是“谈谈而已”的问题么？“山不厌高，水不厌深，周公吐哺，天下归心”。六，十二，一九三六。,bingxin
377,我自己走过的路,您给我题个词吧！冰心：好吧。冰心给铁凝的题词是：有工夫的时候，多看些古典文学和外国小说（译本也好），这样眼界广些，词汇多些，于年轻的作者有便宜的地方。铁凝小朋友。,bingxin
370,我自己走过的路,一般六七千字就可以了，要把长的内容压缩到短的文字里边去。我们老年人就喜欢深刻的、扎实的作品，这样的作品也经得起时间的考验。有的作品再过三十年、五十年恐怕就没人看了。,bingxin
56,斯人独憔悴,雾点渐渐的大了，海面上越发的阴沉起来。谁曾在阴沉微雨的早晨，独自飘浮在小船上面？这浓雾的海上，充满了沉郁无聊，全世界也似乎和它都没有干涉，只有我管领了这静默黯凄的美。,bingxin
51,疯人笔记,--雾点渐渐的大了，海面上越发的阴沉起来。谁曾在阴沉微雨的早晨，独自飘浮在小船上面？--这浓雾的海上，充满了沉郁无聊，全世界也似乎和它都没有干涉，只有我管领了这静默黯凄的美。,bingxin
148,关于女人,我笑说：“不是我不答应，我是不敢答应，她太多才多艺了，我不配！”老太太笑着摇头说：“哪里的话，你是太眼高了，不是我说你，”越挑越眼花“——”老太太的脚声，渐渐的在甬道中消失了。,bingxin
178,山中杂记,我迷惑地问我自己：“这是谁呀？剪子巷里没有他！”连文藻都不认识了，更不用说睡在我对床的陈玙大姐和以后进到屋里来的女儿和外孙了！只有住着我的父母和弟弟们的中剪子巷才是我灵魂深处永久的家。,bingxin
289,山中杂记,能做梦便是快乐，做的痛快，更是快乐。现实的有余不尽之间，都可以“留与断肠人做梦”。但梦境也尽有挫折，“可怜梦也不分明”，“梦怕悲中断”，“怎不思量，除梦里有时曾去。无据，和梦也新来不做。”,bingxin
220,我自己走过的路,再加上，如果日本能以本国所拥有的美好的东西为根本来吸收西洋以及外来精华的话，那么日本将会作为一个优秀的文化之国屹立于世界之林。这不仅可以说是日本自身的幸福，更可以说是东方乃至全世界的大幸。,bingxin
226,斯人独憔悴,"冬冬就追了出去。不久，冬冬就回来了，说：""外公说外面太冷，叫我快回去，怕凉着。""晓岚赶紧问：""他们还说些什么？""冬冬搔了搔头说""仿佛是那位柳奶奶说，""看来你大女儿不喜欢我们在一起""外公叹口气说，""",bingxin
121,疯人笔记,比如说，她常常赞美那些太太死后绝不再娶的男人，认为那是爱情最贞坚的表现，我听她举例不止一次。有一次是除夕，大家都回去过年--我的家那时还在上海，也不想进城去玩--夫妇知道我独在，就打电话来请我吃火锅。,bingxin
90,关于女人,比如说，她常常赞美那些太太死后绝不再娶的男人，认为那是爱情最贞坚的表现，我听她举例不止一次。有一次是除夕，大家都回去过年——我的家那时还在上海，也不想进城去玩——L夫妇知道我独在，就打电话来请我吃火锅。,bingxin
190,我自己走过的路,从费孝通的“知识分子的早春天气”和“早春前后”两篇文章中，我们感到了彻骨春寒的阴郁寂寥的空气！他说是在谈知识分子，他“所熟悉的一些在高等学校里的老朋友的心情”。他戴上了浓黑的眼镜，把“一时之感，一隅之见”,bingxin
116,关于女人,如同雷轰电掣一般，我呆住了，眼前涌现了S的冷静而含着悲哀的，抬头望月的脸！想到她那美丽整洁的家，她的安详静默的丈夫，她的聪明活泼的孩子。忽然广场上一声降旗的号角，我不由自主的，仍了手里的信，笔直的站了起来。,bingxin
