,title,text,author
2792,红处方,范青稞说，管得这么紧，往外的电话怎么出去？,bishumin
405,红处方,米哈林吐着血泡说，你……犯规了……时间……,bishumin
410,红处方,随着每一个单词的吐出，都有硕大的血泡膨出。,bishumin
3055,红处方,每个成员都要敞开心扉开展……谈心活动……”,bishumin
2998,红处方,蔡冠雄迟疑地问，是什么激发了这种异常反应？,bishumin
2988,红处方,蔡医生脸现羞涩呆在一旁。屋内一时静寂无声。,bishumin
520,红处方,沈若鱼说，那就蒙在鼓里，做你的无名英雄吧。,bishumin
535,红处方,简方宁说，什么词，说出来，让我看像也不像？,bishumin
4183,红处方,不想柏子竟生起气来，说，院长你，看不起我？,bishumin
407,紫花布幔,“把它们按类归好。摆在地上。”田大妈指挥。,bishumin
4187,红处方,万一你要是被人抓住，你可千万……我叮咛他。,bishumin
4238,红处方,这个世界上，强者死去的概率要比弱者高多了。,bishumin
602,红处方,简方宁看她久久报不出数来，就主动过来帮忙。,bishumin
391,紫花布幔,“你就看最末尾这个实发数字。”阿宁指点她。,bishumin
616,红处方,她的孩子？在哪里？沈若鱼下意识地四下打量。,bishumin
2832,红处方,三大伯说，本埠一块绿树皮，外埠一块灰树皮。,bishumin
650,红处方,沈若鱼服从，就在产房附近的小屋支起一张床。,bishumin
658,红处方,简方宁不好意思说；嗨，咱们不是说着玩的吗？,bishumin
2779,红处方,正说着，庄羽回来了。范青稞失声问，这么快？,bishumin
4211,红处方,假如这一切都不在了，生命又有何意义和价值？,bishumin
697,红处方,潘岗说，拾掇得太干净了，哪里还显得出艰苦？,bishumin
3086,红处方,这是很艰巨的创造性工作……景教授沉吟着说。,bishumin
4153,红处方,我淡淡地说，这里早就不长桃了，长的是荆棘。,bishumin
3736,红处方,蔡医生说，要不要我给你开个化验单，查一下？,bishumin
666,紫花布幔,妈妈，妈妈现在睡了吗？是不是也在想小髻呢？,bishumin
3693,红处方,庄羽对着忙音鸣叫的电话听筒，咬得银牙迸裂。,bishumin
3688,红处方,第二天晚上，庄羽的电话又像候鸟，翩然而至。,bishumin
614,紫花布幔,小髻没有钱。钱都按月寄回家去，贴补家用了。,bishumin
3629,红处方,何事啊？孟妈可是个大忙人。孟妈开始端架子。,bishumin
561,紫花布幔,费费回来，不见了他的小髻姨姨，也许会哭的。,bishumin
4027,红处方,我一阵狂喜，哆嗦着嘴唇说，真的？那太好了！,bishumin
3132,红处方,女人这才发现范青稞，说，大姐，这是毛袜子。,bishumin
3505,红处方,沈若鱼嚷，先吃饭，别说那些混蛋的事。倒胃。,bishumin
3375,红处方,庄羽沮丧地说，那您就开谈吧，我好好听着呢。,bishumin
137,红处方,您到底去哪儿啊？前头可拐弯了。司机再次问。,bishumin
139,红处方,有一所……特别的医院，你知道不？沈若鱼说。,bishumin
3322,红处方,女人惊魂渐渐平静，叹说，要是孟妈管就好了。,bishumin
4100,红处方,到底是谁把它偷走了？孟妈永远也想不出答案。,bishumin
232,红处方,喊人……席子的回答，已经是从铁梯上传来了。,bishumin
253,红处方,范青稞紧紧咬住智齿牙关，免得自己惊叫出来。,bishumin
320,红处方,护士长说，你别腐蚀人，我们这儿是一片净上。,bishumin
3442,红处方,庄羽说，他做不了我的主。我自己好好想一想。,bishumin
3758,红处方,简方宁无可奈何地说，那就挂在医生办公室吧。,bishumin
717,红处方,简方宁说，我听出你的意思来了，你不喜欢他。,bishumin
751,红处方,你就是为了这件事约我出来的吗？简方宁追问。,bishumin
1214,红处方,就像谁往客厅里扔了一瓶酒精，空气都烧蓝了。,bishumin
2263,红处方,酒井智子和她的母亲，爆发了极为猛烈的冲突。,bishumin
2207,红处方,那是一种生死体验，一种冒险。完全蔑视传统。,bishumin
1249,红处方,每天压力很大，不知怎样才能让神经松懈下来。,bishumin
77,紫花布幔,阿宁抱着费费从后门上，小髻被人流裹向中门。,bishumin
1314,红处方,一忽儿，她就回了电话。说我猜你今天会找我。,bishumin
1406,红处方,我说，也许，会变成对现在和将来，都没兴趣。,bishumin
1461,红处方,沈若鱼说，我和膝医生聊了半夜，长不少见识。,bishumin
2277,红处方,甲子立夏正要说什么，见孟妈来了，再不言语。,bishumin
1473,红处方,简方宁只得苦着脸如实相告，他们叫我老太太。,bishumin
1512,红处方,放下电话，简方宁说，你先生跟临终嘱咐似的。,bishumin
1849,红处方,詹姆斯医生的镇静糖浆——内含大量的海洛因。,bishumin
1548,红处方,沈若鱼一时语塞，这实在太出乎她的常识范围。,bishumin
1822,红处方,简方宁习惯地捋捋头发，一枚白发，锵然落下。,bishumin
1809,红处方,简方宁和滕医生，开始讨论张大光膀子的历史。,bishumin
1623,红处方,好。请随我来。阿风答应得很爽快，在前引路。,bishumin
1738,红处方,不要说绰号，要你身份证上的名字。简方宁说。,bishumin
1692,红处方,简方宁说，好，我接着说。可是我说到哪儿了？,bishumin
1480,红处方,沈若鱼说，你若真治好了吸毒的人，胜造浮屠。,bishumin
743,红处方,我想听听你医院的事。沈若鱼假装偶然想到说。,bishumin
1167,红处方,没听见。什么都没听见。范青稞恨不指天为誓。,bishumin
1071,红处方,范青稞漫无边际地遐想着，不由得走到护士岛。,bishumin
2732,红处方,支远说，一句很美妙的话，送你一束钻石玫瑰。,bishumin
763,红处方,简方宁说，医院刚刚走上正轨，我得身先士卒。,bishumin
781,红处方,但我决心已定。你若把我当莫逆之交，就帮我。,bishumin
784,红处方,沈若鱼讨好地说，院长大人，我去端，您歇着。,bishumin
2690,红处方,我没什么要求，怎么治都成。范青稞急忙答话。,bishumin
820,红处方,简方宁紧张道，哎呀，有一个极为重要的问题。,bishumin
851,红处方,入院时你打算叫什么名字？简方宁很严肃地问。,bishumin
881,红处方,只得说了原委，同先生商量，要一笔活动经费。,bishumin
