,title,text,author
1691,还珠格格,紫薇震动已极，目不转睛的看着尔康，呆住了。,qiongyao
0,还珠格格,紫薇带着丫头金琐，来到北京已经快一个月了。,qiongyao
3605,还珠格格,“皇阿玛！我们大家有话禀告！请摒退左右！”,qiongyao
80,还珠格格,家丁大声应着，奋勇上前，和小燕子追追打打。,qiongyao
1490,还珠格格,“你相信我的故事吗？你不怕我是一个骗子吗？,qiongyao
83,还珠格格,“哈！这个女飞贼，帮我们报了拦轿子的仇了！,qiongyao
276,窗外,“真是一件小事，每个家庭都会有这种事的。”,qiongyao
1473,还珠格格,乾隆点点头，皇后便带着她的人，全体退出去。,qiongyao
1472,还珠格格,“皇上这么说，就这么办吧！臣妾先告退了！”,qiongyao
104,还珠格格,紫薇直到官兵转入巷道，不见踪影，这才站起。,qiongyao
1448,还珠格格,容嬷嬷一惊，立刻左右开弓，打着自己的耳光。,qiongyao
689,窗外,“她已经一往情深了，我们的力量已太小了。”,qiongyao
687,窗外,江太太走进来，问：“怎么样？你劝了她吗？”,qiongyao
125,还珠格格,紫薇直到官兵转入巷道，不见踪影，这才站起。,qiongyao
642,窗外,“身体上的难过有限，心里才是真正的难过。”,qiongyao
157,还珠格格,街道上，市廛栉比，店铺鳞次，百艺杂耍俱全。,qiongyao
165,还珠格格,紫薇伸头一看，原来小燕子也在人群中看热闹。,qiongyao
833,还珠格格,“那么，小燕子、你娘临终，是怎样对你说的？,qiongyao
1414,还珠格格,容嬷嬷就一步上前，对着小燕子，一耳光抽去。,qiongyao
2467,还珠格格,三人一呆，互看，半天才想明白了，大家失笑。,qiongyao
359,窗外,“她为什么总到康南那儿去？”叶小蓁低声问。,qiongyao
2597,还珠格格,小燕子一听，兴奋莫名，拉着紫薇，就往前跑。,qiongyao
2593,还珠格格,“快去啊！快去啊！晚了，就占不到位子了。”,qiongyao
809,还珠格格,小燕子吃了一惊，张大眼睛，飞快的转着念头。,qiongyao
1670,还珠格格,但是，‘不属于’我的地方，我是很清楚的！”,qiongyao
130,窗外,“噢，我真不明白他怎么会让你这样倾心的！”,qiongyao
1669,还珠格格,“是，天下之大，居然没有真正属于我的地方！,qiongyao
1668,还珠格格,一句话问住了紫薇。她的脸色一暗，心中一酸。,qiongyao
812,还珠格格,“你还会一点拳脚功夫？你娘居然教你这个？”,qiongyao
818,还珠格格,“我娘没教我作诗……”她结舌的，吞吞吐吐。,qiongyao
4049,还珠格格,“卑职不敢说……不敢说……是一个公公……”,qiongyao
2535,还珠格格,“都是一些青菜，只怕皇上吃不惯，怎么办？…,qiongyao
2519,还珠格格,这也歌唱，那也歌唱，风儿也唱着，水也歌唱！,qiongyao
2517,还珠格格,蝴蝶儿忙，蜜蜂儿忙，小鸟儿忙着，白云也忙！,qiongyao
1613,还珠格格,“接得好极了，接得妙极了！”永琪首先赞美。,qiongyao
821,还珠格格,小燕子额上冒汗了，发现这个皇后实在很难缠。,qiongyao
