,title,text,author
19,长恨歌,所有的浪漫都平息了，天高云淡，鸽群也没了影。,wanganyi
226,我爱比尔,后来，他们就到了他任教的大学专家楼的房间里。,wanganyi
281,长恨歌,这实力也是平均分配的实力，各人名下都有一份。,wanganyi
66,荒山之恋,眼泪淌了下来，来不及去擦，一颗一颗落在案板上。,wanganyi
31,妹头,它就像一个凶蛮的外族人，侵入了安宁祥和的友邦。,wanganyi
159,遍地枭雄,半小时以后，毛豆同他们一起，乘在了上行的火车上。,wanganyi
246,妹头,可是欲念却产生了，不约而同地，他们又上了那张床。,wanganyi
101,我爱比尔,不过体力却是新生的，像刚蓄满的水。接着，天就亮了。,wanganyi
173,我爱比尔,很远的地方，楼群中间的空地，有吱嘎吱嘎的秋千声传来。,wanganyi
721,长恨歌,这时，有一辆三轮车过来，她叫住了，头也不回地上了车。,wanganyi
631,长恨歌,因是一厢情愿，那付出便是加了倍的，不料却是这样的结果。,wanganyi
235,我爱比尔,她把欲望压抑着，积累着，说不定哪天会爆发出来，酿成事端。,wanganyi
482,长恨歌,说罢眼泪流了出来。薇薇也哭了，却是嘴硬，不说一句软话的。,wanganyi
80,妹头,有了这么一两回，小白就再不让妹头参加他和阿五头的聚会了。,wanganyi
468,我爱比尔,而这一切，却都使人们变得天真和纯洁了，无论是干部还是劳教。,wanganyi
206,妹头,当时，学校里，比较引人注目的，是那几个，人称作拉三的女生。,wanganyi
408,我爱比尔,阿三镇静下来，她在心里掂量着阳春面的话，揣摩着这话的真伪虚实。,wanganyi
85,我爱比尔,小姐静立在他们身后，等待他们了断后再开电梯门。而他们相持不下。,wanganyi
86,妹头,但无论如何，她和玲玲也已经是桥归桥，路归路，不再有什么关系了。,wanganyi
178,我爱比尔,美国人最经不起历史的诱惑，半世纪前的那点情调就足够迷倒他们了。,wanganyi
402,我爱比尔,她无形中散播着压抑感，她在哪里，哪里的空气就变得莫名其妙的沉闷。,wanganyi
160,妹头,他晓得是妹头，但是惊讶她的放肆。还好，她只蒙了一下，很快松了手。,wanganyi
473,我爱比尔,白茅岭的采访应当到此结束了，可是过后又有一些小事，也是值得记录的。,wanganyi
185,启蒙时代,小老大呢，又一次住进结核病疗养院，这也说明，他继父的处境略有好转。,wanganyi
152,我爱比尔,他们两人互相看着，都觉着不像人，离现实很远的，是一种想象样的东西。,wanganyi
439,我爱比尔,无论怎么说，三中队的人到底曾经沧海，比较别的中队，确实吃得来官司些。,wanganyi
87,我爱比尔,此时，大堂里秩序依；日，钢琴在弹奏《魂断蓝桥》的插曲，《一路平安》。,wanganyi
166,我爱比尔,或者盘纽斜襟高领的夹袄，下面是一条曳地的长裙，裙底是笨重的方跟皮鞋。,wanganyi
88,桃之夭夭,那些粗粝的对待，倒是锻炼了她结实的身心，日后可抗衡人生中不期然的遭际。,wanganyi
17,妹头,这皮厚，倒不是寡廉鲜耻的意思，而是，有承受力，在关键时刻，能豁得出去。,wanganyi
409,三恋,手风琴的声音像哭泣，却传得很远。尤其是寂静的下午，几乎一整个院子都能听见。,wanganyi
107,我爱比尔,那远处的黛色的山峦，看多了，便觉出一股寂寞，茶林也是寂寞的，柏树是寂寞之首。,wanganyi
322,我爱比尔,阿三望着丘陵上的孤独的柏树，心里说：假如事情就停止在这里，不要往下走，也好啊！,wanganyi
406,我爱比尔,阿姐，你跑吧！阳春面又说，她压低了声音在空阔的安静下来的工场间里，激起了回声。,wanganyi
156,妹头,暮色里，山东人在线轴上绕线的身姿看上去很寂寞。他绕完了，将风筝送了收起，走了。,wanganyi
379,我爱比尔,只是他们都不爱说话，为什么？看来他们对我还不信任，阿三对自己说。于是笑得更可亲了。,wanganyi
252,妹头,小白浑身颤抖着，手指着妹头要说什么，最终却是哭了出来。他转身出了家门，走到马路上。,wanganyi
11,我爱比尔,等到夕照来临，将那桥下的水染金，炊烟也染金，比尔就更走不脱了。他听见了唱晚的牧歌。,wanganyi
256,妹头,他拥着妹头的温暖的背脊，心里十分想不通，如此平庸的生活，怎么会被妹头过得这样喧腾。,wanganyi
371,我爱比尔,事情的毫无准备的开头，使阿三想到女作家赠送给她的话：有意栽花花不发，无心插柳柳成荫。,wanganyi
390,我爱比尔,这一觉睡得可是真长。当她醒来的时候，费了很长时间，她才慢慢明白过来，了解了她的处境。,wanganyi
220,妹头,你想想看，一个大头上架着一副眼镜，侧了身子，一手插在裤袋里，一手划动着，直直地走来。,wanganyi
49,妹头,两人都是不起眼的男生和女生，也是安于本分的，无心要出风头。就这样，一直到了初中毕业。,wanganyi
185,桃之夭夭,母亲晓得这下子打重了，心里急气，结果是朝了她低下的头顶又给了几下，这场家训方才结束。,wanganyi
212,我爱比尔,这一天的最后一件事，是去找评论家，向他讨来彼此都已忘却的一笔拖欠的画款，从此便两清了。,wanganyi
810,长恨歌,这舞会啊，开了不如不开，怎么着都是走样。就好像一个古墓，不出土还好，一出土，见风就化。,wanganyi
263,妹头,在她光鲜的外表下，总是有一种木。妹头呢，这一派的泼辣和邋遢，在她身上，反体现出一种风趣。,wanganyi
5,我爱比尔,比尔问阿三，阿三这名字的来历。阿三说她在家排行第三，从小就叫她阿三，现在就拿这来作笔名。,wanganyi
70,我爱比尔,好几次，他眼睛里闪出兴奋的光，手已经挥动起来，差一点就要喊出声来，最后，才发现认错了人。,wanganyi
471,长恨歌,王琦瑶静静地坐着，几乎没动刀叉，她禁不住有些纳闷：她的世界似乎回来了，可她却成了个旁观者。,wanganyi
310,我爱比尔,人们三三两两站着，说着，也有像她这样单个的，谁也不注意谁。此时，阿三体验到一种失落的心情。,wanganyi
137,三恋,她觉着自己身体里和头脑里，有着什么东西被唤醒了，如一股活水，源源流淌，她真是换了一个人似的。,wanganyi
99,我爱比尔,阿三什么都想不起来了，她好像来到这里不是一天两天，而是十年二十年，一切都得心应手，异常顺利。,wanganyi
73,我爱比尔,阿三敏感到，大堂里的清洁工和小姐，本来已经注意到她，但因为那男人的离去，重又对她纠正了看法。,wanganyi
162,我爱比尔,阿三动情地吻着比尔，在他巨人般的身躯上，她的吻显得特别细碎和软弱，使她怀疑她能否得到比尔的爱。,wanganyi
190,我爱比尔,阿三退出空地，然后转身向回走去。她明白她要做什么了。现在，又有一大堆事情等着她做，而且刻不容缓。,wanganyi
254,妹头,他怀着些自暴自弃的快乐站起身，走回了家去。雨呢，早已经停了，空气爽朗得很。这些，也都帮助他安静下来。,wanganyi
259,我爱比尔,有刚接受家人探视的，就将家人带来的好吃好喝贡献出来。似乎，这些能够诱使阿三放弃绝食，重新开始吃饭似的。,wanganyi
110,妹头,他们念经似地背诵着，心里其实并不相信，世界上真有这么一个地方，谁会叫做玻璃本梳眼泪水呢？可妹头果真去了。,wanganyi
456,我爱比尔,最后一天到了。很多人来问我们对白茅岭的印象，因不忍使人失望，我们说了又说，事后却想不起我们究竟说了些什么。,wanganyi
318,我爱比尔,眼泪哽住了她，她哑着声音，摇着头，感到痛彻心肺。她想她说得一点不错，一点不错，她和比尔之间，真的，没有什么。,wanganyi
153,三恋,而且，时间不太多了，太阳在西沉，再这样或那样地日落三回，他们就要下山了，下山之后，就要别离。下山意味着别离。,wanganyi
137,我爱比尔,接下去是星期天，值班的星期六就留在枫树林了，不派大客车，本想搭拖拉机去，可场部的宣传干事却找来了一辆小吉普。,wanganyi
407,我爱比尔,我晓得你是和我们不一样的人，你在这种地方呆不下去，你跑吧！跑到南方去，那里都是外来人，不需要报户口，特别好混！,wanganyi
