,title,text,author
208,马伯乐（精品公版）,“我是侍候老爷的。我侍候你，我侍候不着。”,xiaohong
165,萧红散文（精品公版）,“读书，读书，十一点钟了。”她没有回答我。,xiaohong
2740,萧红短篇小说集（精品公版）,她转身就跑回屋去，而后把门又轻轻的闩上了。,xiaohong
2165,马伯乐（精品公版）,她越想越觉得有意思，人是会忽然就长大了的。,xiaohong
2598,商市街（精品公版）,在这期间，许先生比鲁迅先生更要担当一切了。,xiaohong
801,马伯乐（精品公版）,中国方面的战况一不好，要逃难就更得快逃了。,xiaohong
184,北中国（精品公版）,“我好了，我好了。请把这一封信给我带去。”,xiaohong
179,北中国（精品公版）,“上街去了。”说完了，自己的脸色就变白了。,xiaohong
58,牛车上（精品公版）,“什么人啊！”我们知道是有二伯在敲着窗棂。,xiaohong
2187,萧红短篇小说集（精品公版）,小豆没敢答言，兜着小嘴羞惭惭的回过头去了。,xiaohong
888,呼兰河传（精品公版）,祖父怕我害怕，说：“不是，是院外的人家。”,xiaohong
892,呼兰河传（精品公版）,一直哭了很久，到了冬天，这哭声才算没有了。,xiaohong
897,呼兰河传（精品公版）,而且叮叮当，叮叮当的，用声音模拟着打打鼓。,xiaohong
314,萧红散文（精品公版）,那天，我走在道上，我看着伞翅上不住的滴水。,xiaohong
164,呼兰河传（精品公版）,摸完了也就放下了，卖麻花的也绝对的不生气。,xiaohong
7,家族以外的人（精品公版）,“妈睡了没睡呢？”我推着草叶，走出了草丛。,xiaohong
912,呼兰河传（精品公版）,有的主张给她扎一个谷草人，到南大坑去烧了。,xiaohong
1170,马伯乐（精品公版）,“这天真热，热的人上喘，热的人口干舌燥。”,xiaohong
398,生死场（精品公版）,王婆被蚊虫所食，满脸起着云片，皮肤肿起来。,xiaohong
1708,商市街（精品公版）,为什么这样静呢？我反倒对着这安静不安起来。,xiaohong
144,商市街（精品公版）,“我决不能涂抹自己的血！……每月二十元。”,xiaohong
765,呼兰河传（精品公版）,那家的老太太终年生病，跳大神都是为她跳的。,xiaohong
2076,萧红短篇小说集（精品公版）,“你下来一会，我有点事，我告……告诉你。”,xiaohong
919,商市街（精品公版）,“读书，读书，十一点钟了。”她没有回答我。,xiaohong
2524,商市街（精品公版）,“鬼也是怕踢的，踢他一脚就立刻变成人了。”,xiaohong
2079,萧红短篇小说集（精品公版）,“你先进屋去抽一袋烟……我就来，就来……”,xiaohong
638,商市街（精品公版）,“咣咣！”黑色的，半尺厚的灵柩盖子压上去。,xiaohong
1449,萧红短篇小说集（精品公版）,桥头上没有底的桥栏杆，在东边好像看着她哭！,xiaohong
439,生死场（精品公版）,那一些“王道”的书篇飞到山腰去，河边去……,xiaohong
726,马伯乐（精品公版）,现在马伯乐睡得和他订婚之夜一般一样的安适。,xiaohong
188,呼兰河传（精品公版）,顶大的孩子的麻花没有多少了，完全被撞碎了。,xiaohong
341,马伯乐（精品公版）,今天被老太太喝呼着，他就跪在大门洞子里了。,xiaohong
420,牛车上（精品公版）,为什么这样静呢？我反倒对着这安静不安起来。,xiaohong
19,弃儿（精品公版）,她嘴张着，眼睛瞪着，远天和太阳辽阔的照耀。,xiaohong
1236,马伯乐（精品公版）,这一下了楼去，必得半点钟过后，才能够回来。,xiaohong
847,萧红短篇小说集（精品公版）,“什么人啊！”我们知道是有二伯在敲着窗棂。,xiaohong
763,马伯乐（精品公版）,就这么办，马伯乐想定了计划，天也就快亮了。,xiaohong
300,萧红散文（精品公版）,“这叫什么名字？屋里不生火炉，也不冻死？”,xiaohong
1665,马伯乐（精品公版）,火车一开了起来，马伯乐就顺着地平线看风景。,xiaohong
2208,萧红短篇小说集（精品公版）,“爷爷到哪儿去呢？”小豆抬起他苍白的小脸。,xiaohong
1164,商市街（精品公版）,旅馆的过道是那样寂静，我听他踏着地板来了。,xiaohong
924,呼兰河传（精品公版）,旁边有着赞成的说：“反正治不好也治不坏。”,xiaohong
2660,商市街（精品公版）,许先生一边招呼着他不叫他喊，一边下楼来了。,xiaohong
1634,商市街（精品公版）,“我也不知道，谁叫你进去买的？你想怨谁？”,xiaohong
78,北中国（精品公版）,“人生百年，三万六千日，不如僧家半日闲。”,xiaohong
87,家族以外的人（精品公版）,“你不说么？”他的头顶站着无数很大的汗珠。,xiaohong
2613,萧红短篇小说集（精品公版）,恍恍惚惚的衣裳也没有洗干净，他就晒起来了。,xiaohong
1391,萧红短篇小说集（精品公版）,她的头发又散落下来，她一面走着一面挽卷着。,xiaohong
72,北中国（精品公版）,“有吃有喝就行了，荣华富贵咱们不求那个。”,xiaohong
876,萧红短篇小说集（精品公版）,“你不说么？”他的头顶站着无数很大的汗珠。,xiaohong
139,马伯乐（精品公版）,“男子汉！不能到外边去想钱，拿女人的钱。”,xiaohong
106,家族以外的人（精品公版）,母亲和别人完全走完了时，他还站在那个地方。,xiaohong
109,家族以外的人（精品公版）,“羊肠也是不能吃。”他看着他自己的饭碗说。,xiaohong
7,牛车上（精品公版）,“妈睡了没睡呢？”我推着草叶，走出了草丛。,xiaohong
49,北中国（精品公版）,而后那房门喀喀的一响，人就进去了，不见了。,xiaohong
1246,萧红短篇小说集（精品公版）,忽然亚丽的影子闪入眼中，我惊奇的跳了起来。,xiaohong
195,生死场（精品公版）,那个傻婆娘一向说话是有头无尾：“十多回。”,xiaohong
141,马伯乐（精品公版）,“这老头子，越老越糊涂，真他妈的中国人！”,xiaohong
245,生死场（精品公版）,“你们的事情预备得怎样了？能下手便下手。”,xiaohong
1327,商市街（精品公版）,黑列巴和白盐许多日子成了我们唯一的生命线。,xiaohong
2268,马伯乐（精品公版）,“那么我可以安置你到物价评判委员会里去。”,xiaohong
38,牛车上（精品公版）,“我的鸡蛋比你们的全大……像个大鸭蛋……”,xiaohong
32,牛车上（精品公版）,火苗旺盛起来了，伙伴们的脸孔，完全照红了。,xiaohong
944,呼兰河传（精品公版）,“年轻的人吃了，力气之大，可以搬动泰山。”,xiaohong
2666,商市街（精品公版）,海婴每晚临睡时必向爸爸妈妈说：“明朝会！”,xiaohong
945,呼兰河传（精品公版）,“妇女吃了，不用胭脂粉，就可以面如桃花。”,xiaohong
