,title,text,author
53,永不永不说再见,无论你多么坏，你那一刻所说的话，都是甜的。,zhangxiaoxian
42,离别曲,他觉得他有责任保护/，不让他走父母的旧路。,zhangxiaoxian
188,亲密心事,五种不可挽回的东西加在一起，不要奢望可以挽回。,zhangxiaoxian
29,不如你送我一场春雨,和男人吵架，千万别威胁他，也不需要跟他讲道理。,zhangxiaoxian
46,永不永不说再见,认真地爱过之后，你才领悟，有些爱，的确是不可能的。,zhangxiaoxian
78,面包树上的女人,“她是一个很放荡的女人。”他说。“你们为什么分开？”,zhangxiaoxian
103,我的爱如此麻辣,再猜。不是干贝，会不会是巧克力？请一定要代我祝福熊猫。,zhangxiaoxian
31,面包树上的女人,“你喜欢邓初发，还是林正平？”我问她。“我不知道……”,zhangxiaoxian
134,不如你送我一场春雨,心虚感应往往比心灵感应更灵验，心虚的事，还是不要多做。,zhangxiaoxian
66,离别曲,“是手表！”顾青终于说。他又补充说：“而且制作费很高。”,zhangxiaoxian
73,我的爱如此麻辣,要是吃撑了肚子依然没有睡意的话，那就去看一会书。再聊吧。,zhangxiaoxian
174,不如你送我一场春雨,要到某个年纪，才有这种觉悟吧？所以，要和自己喜欢的人做。,zhangxiaoxian
161,面包树上的女人,“程韵。”他叫我。“什么事？”“新年快乐！”“新年快乐！”,zhangxiaoxian
178,面包树上的女人,六天里，他平均每天摺一百六十四只飞机，思念我一百六十四次。,zhangxiaoxian
62,蓝蝴蝶之吻,“太惨了，不要在唱啦！我明儿教你唱一些新歌。”大妈妈对她说。,zhangxiaoxian
41,面包树上的女人,十个男孩子都面目模糊。上唐诗讨论的时候，第十一个男生闯进来。,zhangxiaoxian
108,三个Acup的女人,徐玉把电话筒交给宇无过。“周蕊，你好吗？”宇无过的声音很愉快。,zhangxiaoxian
21,亲密心事,不是想离婚，而是连离婚都懒得提出来。爱情疲倦，连带一切都疲倦。,zhangxiaoxian
8,我的爱如此麻辣,我在父亲的账簿里发现了一个秘密，很快会再写给你。今天是除夕呢。,zhangxiaoxian
50,离别曲,她手里的烟还没烧完，像那支低迥了二十年的小夜曲，萦绕在她身畔。,zhangxiaoxian
5,不如你送我一场春雨,婚姻从来不能用来挽救一段破碎的爱情，破碎的爱情只能得到破碎的婚姻。,zhangxiaoxian
15,是谁拿走了那一双雪靴,站在阳台上，我会希望香港下雪，那么阿政就可以穿上我买给他的那一双雪靴。,zhangxiaoxian
90,红颜露水,随后的两个星期，刑露却饱受思念的甜蜜和煎熬。杨振民去了意大利参加赛车。,zhangxiaoxian
142,不如你送我一场春雨,是的，这就是我们的生活。在这细小的都市里，男人不过是其中一种投资工具。,zhangxiaoxian
227,面包树上的女人,这首歌很动听。他说。歌词是我从前的男朋友写的。我不想再隐瞒他。他不作声。,zhangxiaoxian
49,永无止境的怀抱,每一段爱情，也有痛苦和快乐，这才让人回味。每一个人生，也不可能尽得快乐。,zhangxiaoxian
27,那年的梦想,“已经破例让你在这裏弹琴了，不要哭好吗?节目要完了，你有甚么话要说吗?”,zhangxiaoxian
39,三月里的幸福饼,你为什么想知道？他反问我。我想你成名前一定做着一些很优雅的工作。我讽刺他。,zhangxiaoxian
44,永不永不说再见,你害怕当你忘记他，他也会忘记你。什么事情都会成为过去，我们是这样活过来的。,zhangxiaoxian
72,红颜露水,她听到心里的一把声音说：“是啊！永远不会有太甜的人，只有太苦、太酸和太辣的。”,zhangxiaoxian
68,永不永不说再见,上帝既仁慈也残忍。痛苦和快乐，都会随着岁月变得愈来愈轻盈，不象从前那么重要了。,zhangxiaoxian
28,永不永不说再见,是的，爱意永在。然而，记忆已模糊，生活还是要继续。往事，在烟波里，愈来愈远了。,zhangxiaoxian
30,永不永不说再见,假如你对我尚有一丝关怀，你就来吧。请你不要冷漠的问我：“你有什么事？”我不过想见你。,zhangxiaoxian
24,永不永不说再见,他有权追寻自己的快乐，他有权选择自己的生活，他也有权拥抱自己的秘密。他更有权不爱我。,zhangxiaoxian
47,三月里的幸福饼,他苦笑，文治是个有责任感的男人。有责任感的男人是很痛苦的。你是说你还是说他？两个都是。,zhangxiaoxian
269,面包树上的女人,我无法再拒绝他。一小时后，我们在餐厅见面，他的样子很颓丧。你不用为手术作准备吗？要的。,zhangxiaoxian
249,面包树上的女人,在机场，他替我办好登机手续。你应该入闸了。他跟我说。你没有话要跟我说？我突然有点舍不得。,zhangxiaoxian
8,三个Acup的女人,我觉得宇无过这个笔名真是太妙了，乳无过，就是乳房没有错。“陪我去买杂志。”徐玉着急地说。,zhangxiaoxian
245,面包树上的女人,他给我三天时间考虑，我答应了他。你有没有考虑过徐起飞？迪之问我。这是一个很好的机会。我说。,zhangxiaoxian
23,不如你送我一场春雨,能中三T的女人，全靠运气和傻气，她们不必懂得爱，也不必沉迷爱。懂得爱的女人通常都输得很惨。,zhangxiaoxian
5,离别曲,那个小亲戚呆了一下，眼耳口鼻一瞬间全都挤在一起，哇啦哇啦的大哭。她就是喜欢戳她喜欢的东西。,zhangxiaoxian
72,永不永不说再见,一个成功女人的背后，必定有一个同时做两份工作的男人。这个时代的男人，是要用智慧去换爱情的。,zhangxiaoxian
179,永不永不说再见,我不要求其他人对我坦白，但我会这样要求你。你是我最好的朋友，不要逼我问你：“为什么是你？”,zhangxiaoxian
63,我的爱如此麻辣,那一刻，我知道我也许永远失去了我最好的朋友。这些说话，不知道为什么要等到今天才有勇气告诉你。,zhangxiaoxian
45,永无止境的怀抱,倏忽一天，这一切都成了只堪回味的往事。我们飞快地打量一下对方，然后，眼睛定格在对方的嘴唇上。,zhangxiaoxian
58,面包树上的女人,感动是一座熔炉，烧熔我的心，逼出眼泪，即使用一双手去接，也接不住。“为什么要写这首歌给我？”,zhangxiaoxian
119,那年的梦想,她笑着笑着忽然有点难过。她不是爬上邵重侠的床上请求他抱她吗？“你有没有喝过婴儿香槟？”她问。,zhangxiaoxian
